File Name:	PMMA_CN_10mm_60Kmin_8mg_R1.txt	Version: 8.3.7.3						
Date:	02 Aug 2024
Operator:	KH
Test ID:	PMMA_CN_10mm_8mg_60K_R1
Sample ID:	PMMA_10mm_8mg_R1
Sample Mass (mg):	8.0800
Sample Cup Mass (mg):	184.4500
End Total Mass (mg):	0.0400
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.973
Baseline O2:	20.368
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.855	80.057	19.996	99.973	20.313	-3.682	-0.035	899.123
0.499	74.864	80.055	19.997	99.984	20.294	-3.002	-0.011	899.102
0.999	74.864	80.055	19.997	99.996	20.270	-2.170	0.009	899.110
1.499	74.825	80.057	19.996	100.019	20.254	-1.567	-0.039	899.118
1.999	74.856	80.057	19.996	100.083	20.237	-0.933	-0.008	899.107
2.500	74.866	80.057	19.996	100.177	20.223	-0.413	0.041	899.097
2.999	74.913	80.056	19.997	100.288	20.218	-0.181	0.057	899.107
3.499	74.929	80.056	19.997	100.402	20.211	0.101	0.063	899.082
3.999	74.977	80.057	19.997	100.500	20.206	0.364	0.064	899.088
4.499	75.026	80.056	19.996	100.560	20.202	0.462	0.097	899.123
5.000	75.068	80.056	19.996	100.589	20.197	0.426	0.090	899.092
5.500	75.147	80.055	19.996	100.602	20.197	-0.077	0.121	899.122
5.999	75.219	80.055	19.996	100.612	20.197	-0.956	0.151	899.117
6.499	75.325	80.056	19.997	100.624	20.199	-2.104	0.178	899.109
6.999	75.413	80.056	19.997	100.636	20.197	-3.215	0.194	899.121
7.500	75.484	80.056	19.997	100.647	20.198	-4.415	0.159	899.099
7.999	75.553	80.055	19.997	100.661	20.199	-5.426	0.140	899.105
8.499	75.695	80.052	19.997	100.672	20.199	-5.959	0.210	899.072
9.000	75.785	80.055	19.998	100.672	20.201	-6.200	0.231	899.100
9.500	75.932	80.056	19.997	100.670	20.200	-6.055	0.238	899.136
9.999	76.080	80.055	19.997	100.670	20.194	-5.558	0.295	899.121
10.499	76.203	80.057	19.998	100.663	20.182	-4.740	0.271	899.117
10.999	76.320	80.055	19.997	100.658	20.157	-3.424	0.240	899.121
11.499	76.459	80.055	19.998	100.658	20.126	-1.958	0.256	899.084
11.999	76.618	80.056	19.998	100.664	20.098	-0.608	0.298	899.095
12.500	76.805	80.053	19.997	100.697	20.069	0.806	0.345	899.113
13.000	76.991	80.054	19.997	100.784	20.050	1.854	0.373	899.099
13.500	77.226	80.055	19.997	100.927	20.036	2.644	0.421	899.104
14.000	77.457	80.054	19.997	101.110	20.034	2.949	0.466	899.104
