File Name:	PMMA_CN_10mm_60Kmin_8mg_R3.txt	Version: 8.3.7.3
Date:	05 Sep 2024
Operator:	KH
Test ID:	PMMA_CN_10mm_8mg_60K_R3
Sample ID:	PMMA_CN_10mm_8mg
Sample Mass (mg):	8.0000
Sample Cup Mass (mg):	182.3100
End Total Mass (mg):	0.0600
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.352
Baseline O2:	20.246
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.862	80.014	19.977	100.352	20.194	-3.224	0.032	899.785
0.500	74.851	80.015	19.978	100.346	20.181	-2.614	0.005	899.787
0.999	74.857	80.014	19.978	100.348	20.160	-1.672	-0.005	899.798
1.500	74.868	80.015	19.977	100.358	20.140	-0.808	0.017	899.780
2.001	74.879	80.017	19.977	100.391	20.126	-0.228	0.022	899.797
2.500	74.898	80.017	19.978	100.465	20.114	0.270	0.030	899.760
3.000	74.944	80.015	19.978	100.569	20.108	0.547	0.065	899.788
3.500	74.983	80.014	19.979	100.688	20.099	0.898	0.085	899.777
4.000	75.019	80.015	19.978	100.807	20.093	1.106	0.075	899.805
4.500	75.113	80.014	19.978	100.911	20.093	1.108	0.129	899.763
5.000	75.178	80.014	19.977	100.981	20.090	0.973	0.159	899.789
5.500	75.247	80.017	19.977	101.026	20.091	0.464	0.134	899.768
6.000	75.316	80.015	19.978	101.049	20.091	-0.285	0.138	899.753
6.500	75.407	80.015	19.977	101.057	20.090	-1.151	0.160	899.751
6.999	75.498	80.016	19.977	101.050	20.091	-2.201	0.182	899.724
7.499	75.635	80.016	19.978	101.037	20.090	-3.245	0.228	899.745
8.000	75.708	80.014	19.978	101.022	20.089	-4.165	0.210	899.751
8.500	75.830	80.013	19.977	101.005	20.092	-4.946	0.196	899.757
9.000	75.937	80.014	19.978	100.996	20.090	-5.215	0.229	899.747
9.500	76.087	80.016	19.978	100.990	20.087	-5.225	0.257	899.723
10.000	76.177	80.016	19.978	100.989	20.085	-5.105	0.240	899.700
10.499	76.328	80.017	19.978	100.985	20.070	-4.322	0.241	899.693
11.000	76.481	80.017	19.978	100.987	20.051	-3.239	0.304	899.736
11.500	76.646	80.015	19.978	100.987	20.021	-1.708	0.318	899.687
12.000	76.788	80.017	19.979	100.993	19.992	-0.195	0.307	899.697
12.500	76.995	80.018	19.978	101.031	19.966	1.156	0.349	899.690
12.999	77.131	80.017	19.979	101.111	19.947	2.240	0.343	899.696
13.500	77.370	80.017	19.978	101.231	19.936	3.016	0.375	899.661
14.000	77.615	80.016	19.978	101.384	19.928	3.650	0.484	899.718
14.500	77.867	80.017	19.979	101.545	19.929	3.868	0.497	899.688
15.000	78.159	80.019	19.979	101.691	19.929	4.153	0.544	899.661
15.500	78.399	80.017	19.979	101.806	19.935	4.150	0.531	899.712
16.000	78.747	80.018	19.979	101.873	19.940	4.151	0.588	899.655
16.500	79.069	80.019	19.978	101.905	19.946	4.115	0.670	899.696
17.000	79.375	80.016	19.978	101.908	19.954	4.045	0.628	899.693
17.499	79.740	80.017	19.979	101.884	19.960	4.050	0.672	899.652
18.000	80.111	80.017	19.978	101.844	19.969	3.945	0.736	899.660
18.500	80.470	80.017	19.978	101.794	19.976	3.998	0.729	899.669
19.000	80.855	80.016	19.979	101.739	19.980	4.090	0.744	899.646
19.500	81.224	80.016	19.978	101.691	19.987	4.003	0.754	899.613
20.000	81.615	80.014	19.978	101.647	19.992	3.927	0.759	899.647
20.501	82.015	80.014	19.978	101.596	19.998	3.753	0.792	899.641
21.000	82.416	80.014	19.978	101.550	20.002	3.682	0.802	899.640
21.500	82.824	80.015	19.978	101.508	20.007	3.548	0.809	899.636
22.000	83.278	80.017	19.977	101.468	20.013	3.342	0.862	899.633
22.500	83.720	80.015	19.977	101.430	20.016	3.298	0.897	899.628
23.000	84.143	80.019	19.978	101.405	20.024	3.018	0.865	899.624
23.500	84.614	80.018	19.977	101.382	20.031	2.799	0.893	899.622
24.000	85.083	80.019	19.978	101.354	20.035	2.703	0.941	899.628
24.500	85.520	80.016	19.978	101.322	20.040	2.590	0.907	899.600
25.000	85.981	80.014	19.977	101.287	20.045	2.491	0.897	899.589
25.500	86.453	80.013	19.978	101.242	20.046	2.627	0.933	899.574
26.000	86.907	80.013	19.978	101.200	20.048	2.663	0.926	899.611
26.500	87.412	80.014	19.977	101.168	20.054	2.554	0.959	899.604
27.000	87.873	80.017	19.977	101.147	20.056	2.563	0.966	899.577
27.500	88.356	80.015	19.977	101.135	20.058	2.494	0.944	899.563
28.000	88.823	80.013	19.977	101.131	20.060	2.414	0.949	899.572
28.500	89.300	80.016	19.978	101.123	20.060	2.439	0.943	899.558
29.000	89.793	80.017	19.977	101.112	20.062	2.397	0.970	899.544
29.500	90.340	80.019	19.977	101.104	20.064	2.312	1.041	899.549
30.000	90.833	80.018	19.977	101.095	20.072	2.013	1.042	899.537
30.500	91.321	80.017	19.977	101.090	20.076	1.913	0.980	899.546
31.000	91.832	80.017	19.977	101.092	20.077	1.912	0.998	899.558
31.500	92.345	80.016	19.977	101.087	20.079	1.881	1.024	899.529
32.000	92.829	80.013	19.977	101.068	20.082	1.797	0.997	899.533
32.500	93.366	80.017	19.977	101.047	20.083	1.787	1.021	899.550
33.000	93.844	80.017	19.976	101.021	20.084	1.773	1.015	899.518
33.500	94.385	80.016	19.976	101.003	20.087	1.708	1.019	899.518
34.000	94.895	80.019	19.978	100.992	20.091	1.536	1.051	899.516
34.500	95.373	80.018	19.977	100.988	20.093	1.514	0.988	899.500
35.000	95.921	80.017	19.977	100.987	20.091	1.661	1.027	899.525
35.500	96.444	80.018	19.978	100.987	20.094	1.614	1.072	899.522
36.000	96.974	80.017	19.977	100.980	20.093	1.711	1.052	899.527
36.500	97.505	80.016	19.977	100.979	20.098	1.549	1.060	899.502
