File Name:	PS_23.txt	Version: 8.3.7.3						
Date:	10 Sep 2024
Operator:	KH
Test ID:	PS_23
Sample ID:	PS_23
Sample Mass (mg):	3.0300
Sample Cup Mass (mg):	184.5900
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.125
Baseline O2:	20.275
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.099	80.059	19.981	100.125	20.261	-14.387	-0.033	900.502
0.500	75.084	80.060	19.980	100.138	20.245	-13.205	-0.032	900.509
1.001	75.073	80.060	19.980	100.143	20.223	-11.327	-0.027	900.514
1.500	75.066	80.061	19.979	100.155	20.199	-9.166	-0.018	900.545
2.000	75.080	80.064	19.979	100.214	20.176	-6.987	0.007	900.549
2.500	75.103	80.061	19.980	100.322	20.159	-5.204	0.038	900.545
3.000	75.104	80.060	19.980	100.457	20.148	-4.072	0.024	900.511
3.501	75.133	80.062	19.980	100.599	20.135	-2.652	0.030	900.533
4.000	75.171	80.061	19.981	100.738	20.125	-1.504	0.067	900.505
4.500	75.213	80.062	19.979	100.825	20.120	-1.003	0.080	900.497
5.000	75.293	80.062	19.979	100.864	20.114	-0.885	0.122	900.493
5.500	75.307	80.061	19.980	100.884	20.113	-2.341	0.095	900.517
6.000	75.395	80.062	19.980	100.899	20.110	-4.603	0.102	900.533
6.500	75.446	80.062	19.979	100.916	20.105	-7.431	0.139	900.496
7.000	75.576	80.062	19.980	100.947	20.107	-10.979	0.180	900.541
7.500	75.652	80.063	19.979	100.975	20.105	-13.691	0.205	900.524
8.001	75.743	80.064	19.980	101.001	20.105	-16.185	0.167	900.514
8.501	75.843	80.064	19.980	101.019	20.102	-17.229	0.191	900.501
9.001	75.960	80.064	19.979	101.028	20.104	-17.434	0.216	900.485
9.501	76.070	80.062	19.980	101.027	20.103	-16.717	0.227	900.499
10.000	76.216	80.062	19.980	101.027	20.099	-15.527	0.256	900.514
10.500	76.349	80.063	19.980	101.025	20.088	-13.680	0.279	900.518
11.000	76.465	80.061	19.981	101.021	20.065	-10.791	0.249	900.493
11.500	76.604	80.062	19.980	101.019	20.038	-7.255	0.256	900.480
12.000	76.737	80.061	19.980	101.020	20.003	-2.893	0.273	900.488
12.500	76.957	80.062	19.979	101.050	19.981	0.303	0.353	900.491
13.001	77.086	80.064	19.979	101.145	19.959	3.203	0.348	900.456
13.500	77.324	80.062	19.980	101.310	19.947	5.145	0.367	900.475
14.000	77.535	80.064	19.980	101.518	19.935	7.229	0.450	900.486
14.501	77.778	80.064	19.980	101.721	19.938	7.694	0.454	900.477
