File Name:	PMMA_CN_15mm.txt	Version: 8.3.7.3
Date:	06 Aug 2024
Operator:	KH
Test ID:	PMMA_CE_15mm_4mg_60K_R1
Sample ID:	PMMA_CE_15mm_4mg
Sample Mass (mg):	4.0400
Sample Cup Mass (mg):	182.1500
End Total Mass (mg):	0.0000
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.167
Baseline O2:	20.388
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.904	80.057	19.997	100.167	20.341	-5.288	0.012	899.180
0.500	74.884	80.055	19.997	100.166	20.322	-3.950	-0.006	899.156
1.000	74.918	80.052	19.995	100.164	20.298	-2.215	0.014	899.148
1.500	74.914	80.052	19.995	100.190	20.283	-1.162	0.030	899.165
2.000	74.957	80.052	19.993	100.250	20.265	0.117	0.039	899.143
2.500	74.955	80.051	19.997	100.340	20.253	1.011	0.041	899.142
3.000	75.007	80.053	19.996	100.443	20.243	1.836	0.050	899.171
3.500	75.051	80.055	19.997	100.554	20.239	2.120	0.097	899.159
4.000	75.093	80.056	19.997	100.646	20.235	2.441	0.086	899.193
4.500	75.170	80.057	19.995	100.698	20.230	2.773	0.118	899.163
5.000	75.212	80.057	19.997	100.722	20.229	2.246	0.119	899.185
5.500	75.319	80.058	19.997	100.737	20.230	1.061	0.149	899.169
6.000	75.370	80.056	19.997	100.744	20.228	-0.413	0.159	899.193
6.500	75.454	80.057	19.997	100.752	20.227	-2.191	0.136	899.174
7.000	75.556	80.057	19.996	100.760	20.226	-4.274	0.186	899.169
7.500	75.648	80.058	19.997	100.774	20.228	-6.560	0.194	899.143
8.000	75.759	80.057	19.998	100.783	20.228	-8.107	0.203	899.169
8.500	75.913	80.059	19.996	100.790	20.229	-9.117	0.265	899.184
9.000	76.014	80.058	19.997	100.801	20.226	-9.238	0.255	899.161
9.500	76.117	80.057	19.995	100.806	20.226	-9.361	0.204	899.150
10.000	76.293	80.059	19.998	100.803	20.222	-8.641	0.279	899.164
10.500	76.387	80.059	19.996	100.801	20.205	-6.844	0.270	899.171
11.000	76.527	80.058	19.996	100.802	20.185	-4.756	0.234	899.167
11.500	76.711	80.059	19.996	100.797	20.153	-1.642	0.324	899.147
12.000	76.859	80.058	19.998	100.807	20.126	0.995	0.332	899.155
12.500	77.058	80.058	19.996	100.856	20.103	3.335	0.346	899.160
13.000	77.268	80.059	19.997	100.950	20.085	5.242	0.408	899.161
13.501	77.476	80.057	19.997	101.082	20.076	6.372	0.418	899.164
14.001	77.736	80.058	19.997	101.236	20.067	7.507	0.469	899.164
14.500	78.008	80.057	19.997	101.406	20.072	7.434	0.532	899.148
15.000	78.266	80.057	19.997	101.541	20.073	7.735	0.530	899.170
15.500	78.555	80.059	19.996	101.625	20.080	7.551	0.547	899.161
16.000	78.852	80.058	19.999	101.666	20.081	7.809	0.586	899.143
16.500	79.191	80.058	19.996	101.674	20.090	7.506	0.636	899.167
17.001	79.516	80.057	19.997	101.652	20.096	7.433	0.664	899.185
17.501	79.861	80.056	19.999	101.621	20.103	7.428	0.671	899.168
18.000	80.233	80.059	19.998	101.583	20.108	7.553	0.717	899.165
18.500	80.623	80.057	19.997	101.545	20.116	7.402	0.761	899.144
19.000	80.977	80.057	19.998	101.504	20.120	7.568	0.744	899.165
19.500	81.365	80.057	19.998	101.463	20.129	7.312	0.742	899.132
20.000	81.736	80.057	19.997	101.426	20.136	7.165	0.759	899.166
20.500	82.148	80.058	19.996	101.394	20.139	7.223	0.783	899.141
21.000	82.572	80.058	19.997	101.359	20.146	6.953	0.836	899.138
21.500	83.003	80.058	19.995	101.334	20.147	7.025	0.855	899.151
22.000	83.408	80.057	19.995	101.312	20.156	6.428	0.837	899.170
22.500	83.872	80.053	19.997	101.289	20.159	6.363	0.869	899.144
23.000	84.324	80.056	19.996	101.264	20.166	6.030	0.916	899.168
23.500	84.761	80.056	19.994	101.240	20.173	5.611	0.888	899.185
24.000	85.221	80.056	19.996	101.212	20.177	5.411	0.897	899.160
24.500	85.684	80.057	19.997	101.179	20.181	5.259	0.923	899.154
25.000	86.164	80.059	19.998	101.144	20.189	4.900	0.944	899.186
25.500	86.605	80.054	19.997	101.111	20.190	4.941	0.922	899.158
26.000	87.099	80.055	19.997	101.073	20.196	4.668	0.934	899.170
