File Name:	PS_14.txt	Version: 8.3.7.3						
Date:	07 Aug 2024
Operator:	KH
Test ID:	PS_14
Sample ID:	PS_14
Sample Mass (mg):	184.4500
Sample Cup Mass (mg):	4.2500
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.774
Baseline O2:	20.406
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.199	80.011	19.981	99.774	20.393	-0.243	-0.012	898.889
0.500	75.169	80.012	19.981	99.773	20.374	-0.219	-0.016	898.893
1.000	75.153	80.010	19.980	99.776	20.349	-0.181	-0.047	898.911
1.500	75.211	80.011	19.981	99.799	20.327	-0.147	0.043	898.902
2.000	75.182	80.012	19.981	99.858	20.312	-0.121	0.029	898.896
2.500	75.174	80.009	19.982	99.946	20.290	-0.084	-0.038	898.889
3.000	75.185	80.012	19.982	100.061	20.279	-0.064	0.003	898.876
3.500	75.264	80.013	19.982	100.185	20.269	-0.045	0.090	898.890
4.000	75.320	80.011	19.982	100.299	20.264	-0.035	0.135	898.887
4.500	75.361	80.012	19.982	100.381	20.253	-0.018	0.098	898.882
5.000	75.403	80.011	19.983	100.440	20.250	-0.022	0.083	898.930
5.500	75.493	80.012	19.982	100.478	20.243	-0.039	0.132	898.919
6.000	75.566	80.014	19.982	100.514	20.241	-0.081	0.162	898.899
6.500	75.629	80.011	19.981	100.548	20.241	-0.130	0.136	898.916
7.000	75.712	80.012	19.981	100.578	20.238	-0.173	0.146	898.874
7.500	75.835	80.013	19.982	100.601	20.238	-0.220	0.207	898.923
8.000	75.921	80.012	19.980	100.619	20.237	-0.255	0.209	898.878
8.500	76.049	80.014	19.981	100.628	20.235	-0.270	0.213	898.894
9.000	76.144	80.015	19.981	100.634	20.238	-0.275	0.223	898.941
9.500	76.290	80.012	19.980	100.632	20.236	-0.265	0.241	898.877
9.999	76.410	80.011	19.981	100.628	20.231	-0.247	0.267	898.902
10.499	76.539	80.010	19.980	100.619	20.218	-0.214	0.249	898.936
11.000	76.656	80.013	19.980	100.613	20.194	-0.160	0.245	898.923
11.500	76.787	80.012	19.979	100.609	20.166	-0.101	0.248	898.926
12.000	76.965	80.011	19.979	100.618	20.134	-0.034	0.309	898.885
12.500	77.139	80.011	19.979	100.655	20.109	0.021	0.352	898.891
13.000	77.319	80.010	19.980	100.764	20.087	0.071	0.354	898.871
13.500	77.524	80.010	19.981	100.930	20.075	0.104	0.385	898.913
14.000	77.779	80.013	19.980	101.115	20.071	0.123	0.461	898.936
14.500	78.008	80.013	19.980	101.293	20.072	0.132	0.484	898.888
15.000	78.253	80.013	19.981	101.438	20.069	0.147	0.473	898.863
15.500	78.567	80.012	19.979	101.512	20.074	0.148	0.559	898.887
16.000	78.870	80.011	19.980	101.521	20.080	0.146	0.618	898.907
16.499	79.172	80.011	19.980	101.500	20.087	0.141	0.605	898.899
16.999	79.501	80.012	19.980	101.472	20.092	0.138	0.630	898.895
17.500	79.857	80.010	19.980	101.442	20.100	0.133	0.685	898.890
18.000	80.183	80.013	19.979	101.402	20.112	0.118	0.682	898.888
18.500	80.569	80.013	19.980	101.362	20.118	0.114	0.712	898.922
19.000	80.929	80.014	19.981	101.323	20.124	0.108	0.747	898.886
19.499	81.311	80.016	19.980	101.283	20.129	0.107	0.743	898.887
19.999	81.729	80.014	19.980	101.242	20.136	0.102	0.800	898.880
20.499	82.111	80.013	19.980	101.203	20.138	0.105	0.799	898.886
20.999	82.546	80.014	19.979	101.165	20.148	0.095	0.816	898.894
21.499	82.942	80.013	19.980	101.127	20.153	0.095	0.831	898.853
21.999	83.370	80.014	19.980	101.092	20.159	0.092	0.824	898.895
22.500	83.811	80.012	19.979	101.062	20.164	0.091	0.868	898.908
23.000	84.238	80.013	19.979	101.035	20.170	0.085	0.869	898.866
23.499	84.676	80.013	19.979	101.010	20.174	0.085	0.865	898.890
24.000	85.139	80.013	19.979	100.989	20.175	0.086	0.900	898.873
24.500	85.574	80.014	19.980	100.971	20.183	0.079	0.898	898.845
24.999	86.067	80.014	19.979	100.950	20.187	0.077	0.928	898.853
25.500	86.536	80.015	19.980	100.931	20.191	0.076	0.961	898.880
26.000	86.981	80.013	19.979	100.915	20.193	0.077	0.914	898.859
26.500	87.485	80.013	19.980	100.897	20.197	0.075	0.950	898.873
26.999	87.954	80.012	19.980	100.872	20.202	0.069	0.973	898.887
27.500	88.421	80.011	19.981	100.852	20.204	0.071	0.935	898.892
28.000	88.937	80.009	19.979	100.832	20.209	0.062	0.983	898.897
28.500	89.417	80.009	19.979	100.805	20.212	0.055	0.995	898.867
29.000	89.925	80.012	19.980	100.779	20.213	0.055	0.988	898.872
29.500	90.403	80.011	19.980	100.757	20.216	0.050	0.987	898.878
30.000	90.915	80.013	19.980	100.739	20.220	0.043	0.989	898.879
30.500	91.425	80.014	19.980	100.723	20.223	0.040	1.022	898.833
31.000	91.922	80.013	19.980	100.711	20.223	0.042	1.007	898.875
31.500	92.437	80.012	19.980	100.695	20.229	0.036	1.012	898.860
32.000	92.968	80.011	19.980	100.681	20.228	0.039	1.046	898.902
32.500	93.467	80.011	19.981	100.662	20.233	0.032	1.030	898.893
33.000	93.987	80.012	19.980	100.640	20.232	0.036	1.019	898.883
33.500	94.489	80.011	19.980	100.628	20.235	0.033	1.022	898.914
34.000	94.980	80.011	19.980	100.615	20.235	0.034	0.992	898.884
