File Name:	PMMA_CN_20mm_60Kmin_4mg_R2.txt	Version: 8.3.7.3						
Date:	14 Aug 2024
Operator:	KH
Test ID:	PMMA_CN_20mm_4mg_60K_R2
Sample ID:	PMMA_CN_20mm_4mg
Sample Mass (mg):	4.1000
Sample Cup Mass (mg):	182.1900
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.088
Baseline O2:	20.266
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.104	80.097	19.975	100.088	20.289	-10.617	-0.014	899.526
0.500	75.126	80.098	19.976	100.066	20.271	-9.333	0.024	899.510
1.000	75.144	80.100	19.975	100.047	20.253	-7.997	0.039	899.498
1.499	75.148	80.098	19.975	100.048	20.225	-5.899	0.022	899.520
2.000	75.174	80.101	19.974	100.089	20.210	-4.711	0.030	899.504
2.500	75.196	80.101	19.974	100.159	20.194	-3.388	0.048	899.527
3.000	75.234	80.098	19.975	100.254	20.184	-2.594	0.061	899.506
3.499	75.301	80.099	19.975	100.368	20.172	-1.697	0.104	899.482
4.000	75.360	80.100	19.975	100.486	20.167	-1.262	0.125	899.549
4.500	75.429	80.099	19.976	100.581	20.160	-0.755	0.128	899.520
4.999	75.497	80.100	19.976	100.654	20.155	-0.814	0.137	899.523
5.499	75.580	80.100	19.975	100.715	20.153	-1.645	0.151	899.491
6.000	75.677	80.100	19.976	100.758	20.150	-2.829	0.180	899.536
6.500	75.748	80.100	19.976	100.788	20.152	-4.640	0.167	899.509
7.000	75.825	80.097	19.976	100.809	20.151	-6.392	0.148	899.494
7.500	75.951	80.097	19.976	100.817	20.149	-8.065	0.203	899.492
8.000	76.082	80.096	19.976	100.818	20.149	-9.722	0.257	899.510
8.500	76.163	80.095	19.977	100.823	20.149	-10.804	0.212	899.522
9.000	76.323	80.096	19.975	100.820	20.148	-11.267	0.241	899.489
9.500	76.457	80.095	19.975	100.812	20.147	-11.440	0.294	899.499
10.000	76.577	80.096	19.976	100.810	20.141	-10.911	0.254	899.481
10.500	76.725	80.096	19.975	100.806	20.131	-9.805	0.268	899.494
11.000	76.849	80.096	19.976	100.802	20.109	-7.682	0.272	899.495
11.500	77.013	80.098	19.977	100.803	20.076	-4.684	0.288	899.503
12.000	77.205	80.099	19.976	100.810	20.050	-2.107	0.356	899.493
12.500	77.365	80.097	19.975	100.844	20.022	0.580	0.351	899.492
13.000	77.544	80.098	19.975	100.926	20.001	2.745	0.339	899.478
13.500	77.797	80.098	19.975	101.044	19.992	3.880	0.432	899.490
14.000	78.022	80.098	19.975	101.183	19.986	4.897	0.478	899.483
14.500	78.309	80.102	19.974	101.331	19.985	5.591	0.512	899.479
15.000	78.540	80.099	19.974	101.460	19.992	5.510	0.518	899.479
15.500	78.838	80.098	19.975	101.552	19.996	5.641	0.529	899.463
16.000	79.191	80.096	19.974	101.607	19.998	5.846	0.651	899.461
16.501	79.490	80.096	19.975	101.631	20.008	5.529	0.653	899.480
17.000	79.827	80.098	19.976	101.635	20.011	5.741	0.636	899.495
17.499	80.198	80.097	19.976	101.622	20.018	5.468	0.708	899.435
18.000	80.538	80.098	19.976	101.585	20.026	5.313	0.711	899.462
18.500	80.915	80.101	19.976	101.549	20.033	5.165	0.717	899.464
19.000	81.293	80.100	19.975	101.513	20.040	5.037	0.755	899.473
19.500	81.687	80.101	19.977	101.474	20.045	5.034	0.771	899.459
20.000	82.111	80.102	19.977	101.433	20.053	4.675	0.818	899.463
20.499	82.479	80.101	19.976	101.397	20.054	4.791	0.792	899.459
20.999	82.916	80.101	19.975	101.359	20.064	4.302	0.806	899.479
21.499	83.352	80.098	19.975	101.321	20.066	4.287	0.873	899.442
21.999	83.746	80.098	19.975	101.279	20.072	3.974	0.830	899.428
22.499	84.195	80.101	19.975	101.249	20.078	3.624	0.843	899.449
23.000	84.642	80.099	19.975	101.222	20.083	3.410	0.895	899.475
23.500	85.082	80.100	19.975	101.190	20.088	3.156	0.887	899.468
24.000	85.554	80.099	19.975	101.164	20.092	2.964	0.913	899.419
24.500	86.005	80.097	19.975	101.141	20.094	2.917	0.923	899.445
25.000	86.484	80.098	19.975	101.115	20.098	2.764	0.930	899.429
25.499	86.962	80.100	19.975	101.083	20.100	2.715	0.957	899.441
26.000	87.433	80.099	19.974	101.056	20.104	2.542	0.949	899.421
26.500	87.899	80.099	19.975	101.026	20.106	2.505	0.937	899.428
26.999	88.404	80.098	19.975	101.003	20.112	2.202	0.970	899.410
27.500	88.893	80.098	19.975	100.986	20.118	1.865	0.994	899.432
28.000	89.364	80.097	19.975	100.973	20.119	1.833	0.960	899.424
28.500	89.854	80.096	19.975	100.959	20.119	1.971	0.960	899.412
29.000	90.397	80.098	19.975	100.951	20.123	1.837	1.033	899.433
29.500	90.862	80.098	19.974	100.941	20.124	1.884	1.008	899.467
30.000	91.361	80.098	19.973	100.928	20.129	1.547	0.964	899.455
30.500	91.849	80.101	19.974	100.918	20.129	1.577	0.987	899.431
31.001	92.369	80.102	19.974	100.914	20.133	1.337	1.007	899.431
31.501	92.866	80.100	19.973	100.905	20.133	1.379	1.018	899.415
32.000	93.382	80.097	19.974	100.897	20.132	1.440	1.014	899.403
32.500	93.921	80.095	19.974	100.887	20.136	1.225	1.055	899.411
33.000	94.416	80.097	19.973	100.876	20.141	0.963	1.034	899.428
33.500	94.910	80.097	19.974	100.865	20.143	0.950	0.988	899.401
34.001	95.434	80.095	19.973	100.859	20.146	0.828	1.017	899.442
34.501	95.970	80.098	19.974	100.852	20.146	1.000	1.061	899.390
35.000	96.438	80.098	19.974	100.846	20.145	1.102	1.006	899.395
35.499	96.993	80.098	19.973	100.841	20.145	1.175	1.023	899.412
36.000	97.521	80.098	19.974	100.830	20.150	0.774	1.081	899.440
36.500	98.009	80.099	19.974	100.817	20.151	0.774	1.015	899.395
37.000	98.540	80.098	19.974	100.810	20.153	0.662	1.021	899.395
37.500	99.077	80.099	19.975	100.806	20.154	0.475	1.069	899.414
37.999	99.639	80.097	19.975	100.801	20.154	0.566	1.099	899.389
38.500	100.150	80.098	19.974	100.802	20.158	0.351	1.072	899.390
39.000	100.654	80.099	19.975	100.802	20.159	0.382	1.014	899.364
39.500	101.192	80.097	19.976	100.799	20.163	0.163	1.042	899.398
40.000	101.708	80.099	19.975	100.790	20.161	0.368	1.054	899.397
40.500	102.250	80.098	19.975	100.781	20.162	0.437	1.058	899.399
41.000	102.793	80.096	19.975	100.770	20.162	0.580	1.086	899.379
41.500	103.293	80.098	19.975	100.764	20.166	0.234	1.044	899.379
42.000	103.817	80.100	19.975	100.754	20.163	0.476	1.024	899.393
42.500	104.344	80.099	19.974	100.751	20.165	0.289	1.051	899.410
43.000	104.922	80.098	19.975	100.750	20.163	0.489	1.105	899.388
43.499	105.446	80.097	19.975	100.749	20.169	0.054	1.102	899.393
44.000	105.967	80.098	19.974	100.746	20.171	-0.067	1.044	899.372
44.500	106.495	80.098	19.975	100.749	20.170	0.088	1.049	899.373
45.000	107.045	80.098	19.976	100.750	20.170	0.133	1.078	899.385
45.500	107.577	80.100	19.975	100.747	20.172	-0.058	1.081	899.382
46.001	108.107	80.099	19.975	100.737	20.172	-0.077	1.061	899.413
46.501	108.626	80.098	19.975	100.732	20.174	-0.225	1.050	899.362
47.000	109.166	80.101	19.975	100.722	20.169	0.154	1.060	899.354
47.500	109.692	80.100	19.975	100.712	20.175	-0.271	1.066	899.374
48.000	110.221	80.100	19.974	100.706	20.177	-0.383	1.055	899.361
48.500	110.763	80.099	19.975	100.702	20.173	-0.063	1.071	899.390
49.000	111.296	80.097	19.975	100.704	20.178	-0.273	1.074	899.380
49.500	111.853	80.098	19.975	100.708	20.178	-0.260	1.091	899.379
50.000	112.367	80.096	19.976	100.705	20.179	-0.227	1.071	899.362
50.500	112.918	80.098	19.977	100.704	20.180	-0.249	1.064	899.358
51.000	113.447	80.100	19.976	100.705	20.182	-0.348	1.080	899.399
51.500	113.982	80.098	19.976	100.697	20.180	-0.168	1.064	899.366
52.001	114.525	80.099	19.976	100.691	20.179	-0.103	1.077	899.341
52.501	115.064	80.101	19.976	100.692	20.181	-0.091	1.082	899.374
53.000	115.592	80.101	19.977	100.691	20.183	-0.246	1.068	899.376
53.500	116.115	80.101	19.976	100.695	20.184	-0.294	1.051	899.376
54.000	116.647	80.099	19.976	100.698	20.186	-0.398	1.055	899.363
54.500	117.183	80.099	19.976	100.694	20.182	-0.089	1.067	899.388
55.000	117.747	80.100	19.976	100.692	20.183	-0.128	1.100	899.391
55.501	118.252	80.098	19.976	100.691	20.186	-0.436	1.070	899.386
56.000	118.779	80.098	19.977	100.683	20.185	-0.333	1.032	899.344
56.500	119.316	80.099	19.977	100.673	20.185	-0.238	1.063	899.376
57.001	119.866	80.096	19.976	100.673	20.183	-0.188	1.086	899.401
57.501	120.446	80.097	19.976	100.665	20.186	-0.383	1.130	899.387
58.001	120.939	80.099	19.976	100.658	20.187	-0.432	1.074	899.346
58.500	121.492	80.099	19.976	100.656	20.188	-0.477	1.047	899.368
59.000	121.990	80.099	19.976	100.661	20.187	-0.455	1.052	899.361
59.500	122.521	80.097	19.976	100.654	20.187	-0.513	1.029	899.346
60.000	123.068	80.097	19.977	100.648	20.184	-0.226	1.077	899.371
60.500	123.609	80.099	19.976	100.646	20.187	-0.497	1.088	899.383
61.000	124.150	80.096	19.976	100.645	20.188	-0.598	1.082	899.361
61.501	124.668	80.098	19.977	100.638	20.184	-0.347	1.058	899.376
62.001	125.198	80.100	19.976	100.641	20.186	-0.379	1.047	899.397
62.501	125.700	80.098	19.975	100.646	20.186	-0.278	1.032	899.376
63.001	126.282	80.099	19.975	100.645	20.186	-0.218	1.085	899.398
63.500	126.786	80.100	19.974	100.638	20.189	-0.407	1.086	899.416
64.000	127.323	80.099	19.976	100.640	20.190	-0.450	1.041	899.386
64.501	127.866	80.098	19.976	100.640	20.184	0.034	1.081	899.363
65.000	128.341	80.099	19.975	100.640	20.186	-0.156	1.019	899.347
65.500	128.861	80.101	19.975	100.639	20.183	0.102	0.995	899.400
