File Name:	PMMA_CN_20mm_60Kmin_4mg_R3.txt	Version: 8.3.7.3
Date:	23 Aug 2024
Operator:	KH
Test ID:	PMMA_CN_20mm_4mg_60K_R3
Sample ID:	PMMA_CN_20mm_4mg
Sample Mass (mg):	3.9800
Sample Cup Mass (mg):	182.3700
End Total Mass (mg):	0.0000
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.439
Baseline O2:	20.306
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.023	80.055	19.997	100.439	20.307	-10.126	0.044	898.889
0.500	75.026	80.055	19.997	100.433	20.287	-8.628	0.025	898.880
1.000	75.030	80.056	19.996	100.426	20.268	-7.114	0.007	898.848
1.499	75.060	80.054	19.995	100.424	20.254	-5.901	0.034	898.837
1.999	75.094	80.056	19.995	100.448	20.233	-4.196	0.064	898.841
2.499	75.112	80.054	19.994	100.509	20.220	-3.042	0.052	898.863
3.000	75.137	80.055	19.995	100.593	20.208	-2.059	0.043	898.850
3.500	75.226	80.055	19.994	100.696	20.203	-1.596	0.114	898.839
4.000	75.248	80.054	19.995	100.811	20.197	-1.093	0.111	898.831
4.500	75.324	80.055	19.995	100.905	20.192	-0.734	0.098	898.888
5.000	75.382	80.053	19.995	100.978	20.191	-0.890	0.134	898.855
5.500	75.488	80.051	19.995	101.039	20.187	-1.444	0.164	898.875
6.000	75.577	80.054	19.996	101.087	20.185	-2.665	0.195	898.843
6.500	75.653	80.054	19.994	101.118	20.186	-4.481	0.165	898.824
7.000	75.751	80.051	19.994	101.141	20.179	-5.910	0.174	898.846
7.500	75.889	80.050	19.995	101.150	20.181	-8.085	0.236	898.863
8.000	76.020	80.051	19.994	101.151	20.179	-9.656	0.269	898.830
8.500	76.133	80.053	19.994	101.143	20.180	-10.962	0.244	898.851
9.000	76.242	80.056	19.994	101.132	20.180	-11.550	0.222	898.872
9.500	76.373	80.054	19.995	101.127	20.179	-11.647	0.240	898.845
10.000	76.528	80.054	19.995	101.122	20.175	-11.126	0.286	898.851
10.500	76.667	80.052	19.994	101.116	20.166	-10.022	0.293	898.844
11.000	76.835	80.052	19.994	101.113	20.146	-7.985	0.307	898.840
11.500	76.968	80.054	19.995	101.111	20.116	-5.031	0.301	898.842
12.000	77.126	80.056	19.996	101.112	20.086	-1.988	0.291	898.863
12.500	77.312	80.054	19.996	101.136	20.059	0.741	0.345	898.841
12.999	77.510	80.052	19.995	101.206	20.040	2.875	0.384	898.835
13.500	77.729	80.051	19.994	101.320	20.027	4.442	0.416	898.829
14.000	78.014	80.053	19.995	101.463	20.025	5.243	0.504	898.827
14.501	78.251	80.052	19.994	101.621	20.020	6.096	0.522	898.843
15.000	78.529	80.051	19.993	101.766	20.026	6.085	0.516	898.810
15.500	78.803	80.053	19.994	101.863	20.029	6.360	0.552	898.806
16.000	79.116	80.054	19.995	101.919	20.036	6.400	0.587	898.830
16.500	79.461	80.056	19.995	101.940	20.040	6.670	0.658	898.806
17.000	79.800	80.057	19.995	101.928	20.049	6.514	0.684	898.813
17.500	80.155	80.056	19.995	101.907	20.055	6.477	0.694	898.832
18.000	80.473	80.055	19.995	101.881	20.070	5.726	0.672	898.818
18.500	80.877	80.054	19.994	101.842	20.074	5.692	0.722	898.810
19.000	81.226	80.055	19.996	101.798	20.078	5.564	0.753	898.832
19.500	81.657	80.056	19.996	101.751	20.080	5.562	0.780	898.834
20.000	82.040	80.054	19.995	101.706	20.089	5.013	0.814	898.823
20.500	82.447	80.054	19.994	101.665	20.092	4.998	0.790	898.807
21.000	82.883	80.056	19.995	101.627	20.102	4.501	0.843	898.808
21.500	83.302	80.055	19.994	101.589	20.106	4.503	0.856	898.802
22.000	83.764	80.055	19.993	101.561	20.112	4.187	0.881	898.791
22.500	84.170	80.057	19.994	101.526	20.115	4.188	0.868	898.838
23.000	84.660	80.055	19.994	101.488	20.128	3.476	0.896	898.810
23.500	85.087	80.054	19.994	101.445	20.125	3.880	0.916	898.802
24.000	85.519	80.053	19.993	101.406	20.131	3.476	0.859	898.826
24.501	85.962	80.055	19.994	101.368	20.132	3.492	0.875	898.801
25.001	86.438	80.056	19.995	101.336	20.134	3.459	0.919	898.829
25.500	86.899	80.055	19.994	101.315	20.139	3.069	0.938	898.798
26.000	87.408	80.053	19.993	101.304	20.141	2.925	0.970	898.794
26.500	87.866	80.055	19.994	101.292	20.145	2.589	0.966	898.808
27.000	88.349	80.054	19.993	101.280	20.146	2.537	0.942	898.750
27.500	88.834	80.058	19.993	101.270	20.151	2.221	0.969	898.791
27.999	89.320	80.057	19.994	101.252	20.153	2.210	0.971	898.816
28.500	89.820	80.053	19.993	101.230	20.158	1.897	0.986	898.783
28.999	90.331	80.056	19.994	101.213	20.158	2.030	1.011	898.780
29.500	90.818	80.052	19.993	101.198	20.162	1.842	0.997	898.776
30.000	91.328	80.052	19.993	101.179	20.164	1.946	0.996	898.766
30.500	91.820	80.054	19.993	101.164	20.165	2.008	1.002	898.777
31.000	92.312	80.054	19.994	101.157	20.169	1.846	0.984	898.770
31.500	92.824	80.054	19.993	101.149	20.173	1.668	1.004	898.790
32.000	93.330	80.055	19.994	101.145	20.173	1.695	1.018	898.796
32.500	93.841	80.055	19.993	101.141	20.174	1.677	1.016	898.735
33.001	94.345	80.056	19.993	101.140	20.178	1.300	1.014	898.775
33.500	94.884	80.058	19.994	101.141	20.178	1.276	1.044	898.762
34.000	95.370	80.056	19.994	101.140	20.179	1.274	1.026	898.767
34.499	95.892	80.055	19.994	101.136	20.182	1.083	1.008	898.789
35.000	96.421	80.054	19.994	101.131	20.182	1.143	1.051	898.753
35.500	96.961	80.056	19.993	101.124	20.185	0.837	1.069	898.761
36.000	97.475	80.058	19.993	101.114	20.184	0.909	1.053	898.767
36.500	97.997	80.054	19.995	101.104	20.184	0.901	1.036	898.757
37.000	98.493	80.053	19.993	101.093	20.189	0.527	1.019	898.756
37.500	99.027	80.053	19.994	101.080	20.189	0.655	1.030	898.762
38.000	99.566	80.052	19.994	101.066	20.189	0.716	1.073	898.745
38.500	100.113	80.053	19.994	101.055	20.193	0.496	1.085	898.748
39.000	100.623	80.054	19.994	101.050	20.195	0.319	1.056	898.763
39.500	101.135	80.053	19.995	101.049	20.196	0.267	1.022	898.761
40.000	101.661	80.054	19.995	101.050	20.199	0.010	1.038	898.731
40.501	102.200	80.053	19.995	101.054	20.195	0.249	1.064	898.757
41.000	102.736	80.055	19.994	101.052	20.196	0.209	1.076	898.742
41.500	103.275	80.056	19.994	101.046	20.199	0.090	1.076	898.766
42.000	103.782	80.053	19.994	101.042	20.203	-0.168	1.045	898.734
42.500	104.349	80.055	19.993	101.042	20.203	-0.037	1.074	898.731
43.000	104.870	80.054	19.994	101.045	20.202	0.216	1.089	898.772
43.500	105.393	80.053	19.995	101.045	20.202	0.325	1.044	898.774
44.000	105.889	80.055	19.993	101.048	20.204	0.317	1.019	898.755
44.500	106.426	80.055	19.993	101.046	20.205	0.365	1.032	898.750
45.000	106.976	80.055	19.995	101.037	20.201	0.864	1.086	898.743
45.500	107.491	80.055	19.993	101.026	20.206	0.682	1.065	898.748
46.000	108.043	80.055	19.993	101.024	20.209	0.628	1.067	898.735
46.500	108.583	80.056	19.993	101.026	20.208	0.761	1.092	898.737
47.000	109.105	80.054	19.993	101.028	20.210	0.695	1.062	898.739
47.500	109.597	80.054	19.995	101.033	20.212	0.578	1.014	898.716
48.000	110.148	80.055	19.994	101.037	20.209	0.898	1.043	898.743
48.500	110.714	80.055	19.995	101.031	20.210	0.809	1.118	898.749
49.000	111.203	80.056	19.996	101.018	20.208	0.912	1.055	898.782
49.500	111.770	80.058	19.995	101.013	20.211	0.693	1.056	898.708
50.000	112.309	80.056	19.995	101.005	20.211	0.583	1.107	898.732
50.500	112.838	80.055	19.996	100.995	20.213	0.251	1.067	898.727
51.000	113.395	80.055	19.996	100.987	20.217	-0.254	1.086	898.750
51.500	113.943	80.053	19.995	100.978	20.217	-0.402	1.106	898.769
52.000	114.459	80.055	19.994	100.964	20.216	-0.444	1.063	898.743
52.500	114.983	80.055	19.994	100.951	20.216	-0.500	1.040	898.743
53.000	115.540	80.052	19.995	100.938	20.214	-0.254	1.082	898.766
53.500	116.060	80.054	19.996	100.927	20.217	-0.359	1.076	898.764
54.000	116.586	80.052	19.994	100.923	20.214	-0.119	1.045	898.751
54.500	117.121	80.052	19.994	100.922	20.216	-0.223	1.062	898.760
55.000	117.644	80.056	19.994	100.919	20.216	-0.182	1.058	898.741
55.500	118.178	80.053	19.993	100.914	20.216	-0.267	1.056	898.740
56.000	118.702	80.053	19.996	100.914	20.217	-0.447	1.058	898.761
56.500	119.268	80.053	19.995	100.913	20.219	-0.633	1.090	898.729
57.000	119.785	80.053	19.995	100.914	20.218	-0.487	1.084	898.748
57.500	120.329	80.053	19.995	100.925	20.219	-0.487	1.061	898.750
58.000	120.859	80.053	19.995	100.945	20.217	-0.147	1.074	898.752
58.500	121.398	80.052	19.995	100.961	20.217	0.075	1.068	898.766
59.001	121.927	80.055	19.994	100.968	20.219	0.105	1.067	898.730
59.501	122.458	80.054	19.994	100.976	20.219	0.203	1.061	898.759
60.000	122.991	80.053	19.994	100.969	20.217	0.447	1.065	898.754
60.500	123.506	80.056	19.995	100.960	20.220	0.189	1.048	898.755
61.000	124.073	80.055	19.994	100.953	20.219	0.266	1.081	898.748
61.500	124.560	80.054	19.994	100.953	20.217	0.444	1.054	898.742
62.000	125.107	80.052	19.993	100.949	20.219	0.286	1.034	898.764
62.500	125.629	80.054	19.993	100.951	20.222	0.174	1.068	898.763
63.001	126.175	80.057	19.993	100.957	20.221	0.223	1.067	898.747
63.501	126.704	80.056	19.994	100.964	20.222	0.227	1.076	898.741
64.000	127.239	80.056	19.994	100.964	20.224	0.013	1.064	898.741
64.501	127.715	80.056	19.994	100.964	20.219	0.280	1.011	898.725
65.000	128.242	80.055	19.993	100.955	20.222	-0.014	1.003	898.769
65.501	128.791	80.055	19.993	100.937	20.213	0.598	1.076	898.756
66.000	129.297	80.057	19.993	100.919	20.217	0.271	1.056	898.741
66.500	129.822	80.055	19.993	100.906	20.218	0.230	1.032	898.779
67.000	130.392	80.057	19.994	100.899	20.221	0.141	1.096	898.754
67.500	130.911	80.058	19.995	100.900	20.219	0.420	1.089	898.759
68.000	131.449	80.056	19.994	100.909	20.220	0.461	1.056	898.748
68.500	131.988	80.056	19.994	100.909	20.221	0.539	1.077	898.769
69.000	132.492	80.054	19.994	100.904	20.221	0.663	1.043	898.748
69.500	133.017	80.054	19.995	100.898	20.224	0.585	1.028	898.777
70.001	133.524	80.056	19.995	100.893	20.219	1.081	1.032	898.775
70.500	134.087	80.055	19.994	100.887	20.220	1.098	1.070	898.772
71.000	134.616	80.057	19.995	100.889	20.221	1.147	1.092	898.785
71.501	135.124	80.057	19.995	100.898	20.217	1.470	1.037	898.819
72.000	135.658	80.056	19.994	100.906	20.221	1.166	1.043	898.776
72.500	136.195	80.054	19.994	100.913	20.221	1.120	1.072	898.785
73.000	136.728	80.053	19.996	100.916	20.222	0.963	1.070	898.783
73.500	137.249	80.055	19.995	100.917	20.221	0.999	1.053	898.759
74.001	137.785	80.055	19.995	100.909	20.217	1.267	1.057	898.762
74.500	138.302	80.054	19.994	100.899	20.217	1.184	1.054	898.780
75.000	138.852	80.056	19.994	100.888	20.218	1.145	1.066	898.789
75.500	139.379	80.056	19.994	100.879	20.216	1.196	1.076	898.791
76.001	139.860	80.052	19.993	100.869	20.219	1.016	1.008	898.745
76.501	140.430	80.053	19.994	100.863	20.220	0.805	1.052	898.813
77.000	140.911	80.054	19.993	100.853	20.218	0.946	1.052	898.769
77.500	141.439	80.053	19.993	100.843	20.220	0.737	1.009	898.786
78.000	141.958	80.051	19.995	100.836	20.220	0.675	1.046	898.782
