File Name:	PS_22.txt	Version: 8.3.7.3
Date:	06 Sep 2024
Operator:	KH
Test ID:	PS_22
Sample ID:	PS_22
Sample Mass (mg):	3.2700
Sample Cup Mass (mg):	184.5700
End Total Mass (mg):	0.0000
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.413
Baseline O2:	20.206
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.119	80.107	19.999	100.413	20.191	-13.838	0.021	899.077
0.500	75.097	80.106	19.999	100.415	20.174	-12.143	0.006	899.064
1.001	75.093	80.105	20.000	100.417	20.150	-9.657	-0.026	899.091
1.500	75.101	80.102	20.000	100.435	20.127	-7.498	0.004	899.086
2.001	75.127	80.105	19.999	100.480	20.105	-5.447	0.034	899.080
2.500	75.096	80.103	19.999	100.564	20.089	-4.087	-0.004	899.056
3.001	75.114	80.104	19.999	100.674	20.085	-3.769	-0.013	899.076
3.501	75.175	80.108	20.000	100.812	20.067	-2.105	0.078	899.076
4.001	75.160	80.106	20.000	100.956	20.059	-1.424	0.046	899.116
4.501	75.237	80.106	20.000	101.087	20.054	-1.008	0.062	899.081
5.001	75.305	80.105	20.001	101.184	20.048	-1.082	0.146	899.068
5.501	75.382	80.106	20.001	101.254	20.047	-2.440	0.145	899.110
6.001	75.426	80.105	20.000	101.288	20.041	-3.919	0.121	899.116
6.501	75.551	80.106	20.001	101.302	20.044	-6.764	0.169	899.051
7.001	75.582	80.104	20.001	101.296	20.039	-9.418	0.156	899.082
7.501	75.669	80.106	20.001	101.285	20.039	-12.845	0.118	899.108
8.001	75.783	80.105	20.000	101.275	20.037	-15.718	0.201	899.089
8.500	75.860	80.106	20.001	101.270	20.038	-17.838	0.191	899.113
9.001	75.970	80.106	19.999	101.271	20.034	-18.617	0.187	899.078
9.501	76.126	80.105	20.000	101.281	20.032	-18.832	0.266	899.060
10.000	76.232	80.105	19.999	101.291	20.033	-18.443	0.263	899.043
10.500	76.336	80.106	19.999	101.294	20.022	-16.253	0.211	899.022
11.000	76.488	80.105	20.000	101.300	19.996	-12.405	0.256	899.062
11.501	76.612	80.104	19.999	101.298	19.964	-8.142	0.275	899.095
12.001	76.772	80.103	20.000	101.303	19.934	-4.203	0.283	899.060
12.501	76.954	80.103	20.001	101.346	19.910	-1.020	0.342	899.089
13.001	77.130	80.104	20.000	101.448	19.891	1.476	0.358	899.103
13.500	77.374	80.105	20.000	101.586	19.884	2.650	0.421	899.077
14.000	77.570	80.107	20.000	101.758	19.871	4.390	0.440	899.031
14.501	77.828	80.108	20.000	101.961	19.871	4.889	0.453	899.027
15.001	78.134	80.106	20.000	102.158	19.877	4.889	0.564	899.059
15.500	78.409	80.108	20.000	102.309	19.879	5.343	0.581	899.068
16.001	78.714	80.108	20.000	102.407	19.888	5.263	0.580	899.071
16.501	79.024	80.105	20.001	102.454	19.898	5.115	0.615	899.034
17.001	79.355	80.104	20.000	102.440	19.901	5.726	0.641	899.013
17.501	79.676	80.103	20.001	102.379	19.906	6.306	0.652	899.015
18.001	80.028	80.104	20.002	102.298	19.908	7.131	0.673	899.017
18.500	80.368	80.105	20.001	102.219	19.926	6.144	0.692	899.035
19.001	80.751	80.104	20.001	102.153	19.932	6.394	0.723	899.016
19.501	81.133	80.105	20.000	102.102	19.932	7.040	0.765	899.013
20.000	81.527	80.106	20.001	102.062	19.950	5.805	0.776	899.029
20.501	81.947	80.106	20.002	102.031	19.945	6.765	0.814	899.025
21.001	82.347	80.108	20.001	102.006	19.952	6.377	0.820	899.024
21.501	82.778	80.106	20.001	101.978	19.940	7.786	0.831	899.018
22.001	83.170	80.108	20.001	101.949	19.959	6.142	0.823	899.028
22.501	83.622	80.108	20.000	101.916	19.965	5.686	0.844	899.031
23.001	84.076	80.107	20.001	101.873	19.972	5.053	0.906	899.020
23.501	84.532	80.107	20.001	101.827	19.972	5.081	0.911	899.007
24.001	85.002	80.106	20.001	101.777	19.981	4.174	0.927	899.018
24.501	85.441	80.104	20.001	101.721	19.981	4.277	0.909	899.004
25.001	85.926	80.108	20.000	101.661	19.976	4.860	0.924	899.012
25.501	86.380	80.107	20.000	101.610	20.000	2.704	0.939	898.992
26.001	86.873	80.107	20.000	101.567	19.998	3.138	0.946	899.031
26.501	87.354	80.110	20.000	101.522	19.999	3.267	0.973	898.972
27.001	87.826	80.108	20.001	101.488	20.004	3.059	0.955	899.012
27.500	88.313	80.110	20.000	101.467	19.990	4.681	0.960	898.998
28.000	88.777	80.108	20.000	101.444	19.996	4.378	0.950	898.998
28.501	89.285	80.106	20.000	101.421	20.008	3.461	0.972	899.031
29.001	89.755	80.108	20.001	101.415	20.011	3.329	0.979	899.006
29.500	90.286	80.108	20.000	101.406	20.004	4.148	1.001	898.958
30.000	90.751	80.106	19.999	101.399	20.030	1.738	0.996	899.045
30.500	91.270	80.108	20.000	101.404	20.016	3.213	0.984	899.004
31.000	91.786	80.105	20.000	101.405	20.022	2.497	1.035	899.032
31.500	92.287	80.110	20.002	101.402	20.025	2.192	1.016	898.947
32.000	92.817	80.110	19.999	101.400	20.021	2.530	1.031	898.945
32.500	93.327	80.109	19.999	101.392	20.031	1.636	1.039	898.986
33.001	93.878	80.107	19.999	101.378	20.033	1.565	1.061	899.025
33.501	94.367	80.108	20.000	101.363	20.033	1.686	1.040	898.993
34.000	94.906	80.107	19.998	101.350	20.031	2.117	1.028	898.985
34.500	95.399	80.108	20.000	101.334	20.037	1.767	1.032	898.969
35.001	95.964	80.109	20.001	101.324	20.037	1.900	1.058	898.909
35.501	96.408	80.106	19.998	101.306	20.047	1.014	1.009	898.961
36.001	96.951	80.108	19.999	101.296	20.045	1.239	0.987	898.992
36.501	97.436	80.108	20.000	101.282	20.043	1.463	1.027	898.974
37.001	97.954	80.107	20.001	101.277	20.043	1.590	1.003	899.000
37.501	98.574	80.108	19.999	101.272	20.047	1.306	1.139	898.889
38.001	99.037	80.109	20.000	101.273	20.051	1.050	1.083	898.948
38.501	99.541	80.110	20.000	101.276	20.051	1.153	0.967	898.977
39.001	100.066	80.108	19.999	101.282	20.040	2.318	1.029	898.977
39.501	100.646	80.112	20.001	101.282	20.035	2.941	1.105	898.916
40.000	101.109	80.109	19.999	101.276	20.049	1.579	1.043	899.036
40.500	101.677	80.108	20.000	101.274	20.066	0.061	1.030	898.946
41.001	102.187	80.110	20.000	101.260	20.058	0.807	1.077	898.967
41.501	102.736	80.109	19.999	101.243	20.056	1.204	1.059	898.971
42.001	103.269	80.108	19.999	101.229	20.047	2.153	1.082	898.938
42.501	103.773	80.110	19.999	101.226	20.061	0.831	1.038	898.972
43.001	104.328	80.111	19.999	101.222	20.053	1.698	1.060	898.959
43.501	104.833	80.109	20.000	101.225	20.059	1.187	1.060	898.962
44.001	105.404	80.108	20.001	101.224	20.075	-0.254	1.076	898.941
44.501	105.932	80.106	20.000	101.217	20.063	0.836	1.098	898.935
45.001	106.466	80.107	20.000	101.207	20.055	1.701	1.062	898.932
45.501	106.961	80.107	20.000	101.197	20.055	1.783	1.030	898.983
46.001	107.527	80.106	20.000	101.188	20.065	0.907	1.060	898.961
46.501	108.098	80.107	20.000	101.186	20.066	0.821	1.137	898.962
47.001	108.622	80.107	20.000	101.183	20.073	0.190	1.096	898.992
47.501	109.101	80.107	20.000	101.182	20.068	0.780	1.002	898.952
48.002	109.615	80.109	20.001	101.179	20.066	1.096	0.993	898.982
48.501	110.192	80.107	20.000	101.173	20.066	1.180	1.092	898.920
49.000	110.766	80.107	20.000	101.164	20.063	1.479	1.152	898.899
49.500	111.287	80.107	20.001	101.160	20.070	0.894	1.095	898.907
50.000	111.870	80.106	20.000	101.156	20.070	0.980	1.103	898.938
50.501	112.350	80.106	19.998	101.152	20.076	0.334	1.061	898.949
51.002	112.859	80.109	20.001	101.148	20.068	0.964	0.988	898.976
51.502	113.407	80.109	20.001	101.149	20.072	0.475	1.057	898.946
52.001	113.964	80.109	20.000	101.148	20.076	0.152	1.106	898.897
52.501	114.461	80.108	20.001	101.141	20.071	0.784	1.054	898.946
53.002	115.097	80.107	20.001	101.135	20.078	0.185	1.133	898.915
53.501	115.583	80.112	20.001	101.131	20.074	0.708	1.124	898.945
54.000	116.088	80.106	19.998	101.131	20.077	0.493	0.991	898.970
54.501	116.632	80.108	19.999	101.129	20.081	0.215	1.048	898.952
55.001	117.176	80.107	20.001	101.130	20.076	0.747	1.088	898.933
55.501	117.754	80.105	19.999	101.121	20.076	0.775	1.122	898.932
56.001	118.206	80.105	19.999	101.113	20.074	0.962	1.030	898.973
56.501	118.718	80.106	20.001	101.108	20.077	0.646	0.964	898.965
57.002	119.289	80.106	19.999	101.105	20.077	0.629	1.082	898.957
