General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m�;�C;�C;�C;�C;�C;g/min;�C;�C;�C;�C;ppm;ppm;%;ppm;ppm;no;no;;no;%;�C;no;�C;�C;�C;�C;�C;�C;�C;�C;�C;�C;�C;�C;�C;�C;�C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m�;MJ/kg;m�/kg;g/s;g/(s*m�);[kg/kg];[kg/kg];MJ/m�;g/s;1/m;l/s;l/s;m�/s;(m�/s)/m�;m�;m�;g/s;g/s;g/s;g;kW/m�;g;kW;[%];[%];%;;;;;;;
Test;;0;20,96000;0,04400;0,001000;107,725;100,04;0,0000;0,000;100,982;33,000;0,000;338,950;343,150;26,40;1144,783;263,196;0,000;869,300;886,800;858,800;319,750;;;;;0,00;0,00;0,00;3,00;2,04;15,713;26,660;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,9205;0,00000;0,0000;-0,00083288;-0,00083288;-0,00099;-1,65911;0,0019;24,636095;0,000384;23,643284;23,936252;0,0001;0,0081;0,00;0,01;0,00;0,00;0,09;;;;0,0192298;20,95200;0,04900;-0,00900;0,0002607;;67,84;0,00;;;
Standard used;ISO 5660-1;1;20,96000;0,04400;-0,007000;113,650;100,03;0,0000;0,000;100,982;33,000;0,000;339,050;343,250;26,30;1144,783;263,196;0,000;869,700;886,500;858,700;319,750;;;;;0,00;0,00;0,00;3,00;2,04;15,734;26,668;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,7098;0,00000;0,0000;0,00416311;0,00416311;-0,00169;0,43385;0,0036;25,300802;0,000470;24,288367;24,589240;0,0001;0,0101;0,00;0,02;0,00;0,00;0,06;;0,855;1,710;0,0171199;20,95300;0,05000;-0,01200;0,0002256;;67,84;1,00;;;
Date of test;24.07.2026;2;20,96300;0,04300;-0,037000;109,900;100,02;-0,0100;0,000;100,986;33,000;0,000;339,150;343,450;26,40;1141,350;263,196;0,000;859,900;886,200;858,500;319,750;;;;;0,00;0,00;0,00;3,00;2,04;15,759;26,673;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,5162;0,00000;0,0000;0,01749929;0,01749929;-0,00210;0,07973;0,0051;24,876219;0,000607;23,887817;24,190685;0,0001;0,0129;0,00;0,03;0,00;0,00;0,03;;1,234;1,710;0,0151814;20,95400;0,04900;-0,01400;0,0002032;;67,83;2,00;;;
Time of test;12:43;3;20,96000;0,04400;-0,027000;112,700;100,03;-0,0300;0,000;100,986;33,000;0,000;339,350;343,750;26,40;1138,317;263,196;0,000;851,300;886,000;858,200;319,750;;;;;0,00;0,00;0,00;3,00;2,04;15,748;26,676;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,2038;0,00000;0,0000;0,01166979;0,01166979;-0,00346;0,08803;0,0074;25,183696;0,000520;24,197338;24,511080;0,0001;0,0112;0,00;0,04;0,00;0,00;0,03;;1,443;1,874;0,0220662;20,95400;0,04800;-0,02000;0,0002918;;67,81;3,00;;;
Heat flux (kW/m�);75;4;20,96000;0,04400;-0,014000;107,400;100,04;-0,0300;0,000;100,986;33,000;0,000;339,250;343,650;26,40;1136,183;263,196;0,000;845,600;885,700;857,800;319,750;;;;;0,00;0,00;0,00;3,00;2,04;15,729;26,668;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,4311;0,00000;0,0000;-0,00750160;-0,00750160;-0,00381;-0,08357;0,0098;24,588026;0,000399;23,618036;23,924357;0,0001;0,0084;0,00;0,05;0,00;0,00;0,03;;1,661;1,874;0,0243426;20,95400;0,04700;-0,02200;0,0003298;;67,81;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,95900;0,04400;-0,003000;113,225;100,02;-0,0200;0,000;100,986;33,000;0,000;339,150;343,250;26,40;1134,350;263,203;0,000;840,800;885,300;857,500;319,750;;;;;0,00;0,00;0,00;3,00;2,04;15,727;26,668;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,2493;0,00000;0,0000;-0,00583458;-0,00583458;-0,00079;-0,04413;0,0110;25,249727;0,000640;24,246485;24,539601;0,0001;0,0138;0,00;0,06;0,00;0,00;0,03;;1,697;1,815;0,0125091;20,95400;0,04600;-0,00800;0,0001653;;67,82;5,00;;;
Sampling interval (s);1;6;20,95700;0,04500;0,008000;114,225;100,02;-0,0200;0,000;100,982;33,000;0,000;339,050;343,150;26,40;1132,950;263,203;0,000;837,300;884,900;857,200;319,750;;;;;0,00;0,00;0,00;3,00;2,04;15,740;26,679;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00083288;-0,00083288;0,00166;-0,31058;0,0110;25,364724;0,000553;24,349731;24,644183;0,0001;0,0119;0,00;0,08;0,00;0,00;-0,02;;1,518;1,815;0,0000000;20,95600;0,04600;0,00300;-0,0000947;;67,82;6,00;;;
Separation (mm);25;7;20,95900;0,04600;0,004000;114,375;99,99;-0,0200;0,000;100,986;33,000;0,000;339,050;343,050;26,40;1131,883;263,203;0,000;834,800;884,600;856,800;319,750;;;;;0,00;0,00;0,00;3,00;2,05;15,748;26,655;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,01083120;0,01083120;0,00166;0,02390;0,0110;25,381373;0,000915;24,365714;24,653172;0,0002;0,0198;0,00;0,10;0,00;0,00;0,01;;1,301;1,475;0,0000000;20,95500;0,04600;0,00300;-0,0000343;;67,82;7,00;;;
Orientation;hor;8;20,95900;0,04700;-0,008000;112,750;99,93;-0,0400;0,000;100,986;33,000;0,000;338,950;342,850;26,40;1130,917;263,203;0,000;832,500;884,200;856,600;319,750;;;;;0,00;0,00;0,00;3,00;2,05;15,772;26,689;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,01749929;0,01749929;0,00210;0,03672;0,0110;25,204140;0,001485;24,188437;24,466751;0,0003;0,0318;0,00;0,13;0,00;0,00;-0,02;;1,139;1,475;0,0000000;20,95600;0,04700;0,00500;-0,0001327;;67,80;8,00;;;
Edge frame?;N;9;20,95700;0,04900;0,007000;112,025;99,74;-0,0500;0,000;100,982;33,000;0,000;338,950;342,650;26,40;1130,450;263,203;0,000;831,600;884,000;856,300;319,750;;;;;0,00;0,00;0,00;3,00;2,05;15,769;26,676;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;4,3470;0,00000;0,0000;0,00500170;0,00500170;0,00076;2,12579;0,0154;25,122977;0,003422;24,110544;24,373736;0,0007;0,0731;0,00;0,20;0,00;0,01;0,42;;1,254;1,630;0,0435266;20,94000;0,07300;-0,00100;0,0005803;;67,79;9,00;;;
Grid?;N;10;20,95500;0,04900;0,000000;110,150;99,58;-0,0500;0,000;100,982;33,000;0,000;338,950;342,750;26,40;1129,783;263,203;0,000;830,100;883,700;856,100;319,750;;;;;0,00;0,00;0,00;3,00;2,05;15,751;26,695;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;36,0285;0,00000;0,0000;-0,00750160;-0,00750160;0,00119;-5,72345;0,0514;24,911843;0,004999;23,907919;24,175952;0,0011;0,1059;0,00;0,31;0,00;0,04;2,87;;3,147;1,630;0,3607530;20,85100;0,15800;0,00100;0,0048533;;67,79;10,00;;;
