File Name:	PMMA_CN_6mm_60Kmin_4mg_R1.txt	Version: 8.3.7.3						
Date:	02 Aug 2024
Operator:	KH
Test ID:	PMMA_CN_6mm_4mg_60K_R1
Sample ID:	PMMA_6mm_4mg_R1
Sample Mass (mg):	4.0500
Sample Cup Mass (mg):	184.4700
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.761
Baseline O2:	20.276
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.971	80.058	19.996	99.761	20.252	-10.620	-0.008	899.054
0.500	74.961	80.058	19.996	99.766	20.232	-9.408	-0.021	899.058
1.001	74.960	80.056	19.996	99.772	20.211	-8.034	-0.011	899.105
1.501	74.946	80.057	19.996	99.781	20.187	-6.382	-0.015	899.062
2.000	74.949	80.056	19.996	99.824	20.165	-4.770	-0.011	899.032
2.500	74.968	80.056	19.996	99.907	20.148	-3.466	0.022	899.078
3.000	74.986	80.055	19.996	100.026	20.142	-2.924	0.036	899.079
3.500	75.028	80.055	19.996	100.163	20.131	-2.002	0.060	899.065
4.001	75.043	80.055	19.996	100.304	20.123	-1.276	0.058	899.065
4.500	75.098	80.054	19.996	100.414	20.119	-0.911	0.070	899.058
5.000	75.116	80.056	19.996	100.487	20.115	-0.926	0.072	899.059
5.500	75.210	80.056	19.996	100.527	20.114	-1.702	0.112	899.086
5.999	75.267	80.055	19.996	100.556	20.109	-2.647	0.151	899.081
6.500	75.346	80.054	19.997	100.578	20.111	-4.469	0.136	899.076
7.000	75.409	80.053	19.997	100.603	20.109	-6.346	0.142	899.073
7.500	75.523	80.054	19.996	100.625	20.109	-8.423	0.177	899.075
8.000	75.595	80.055	19.997	100.646	20.108	-10.071	0.187	899.087
8.500	75.683	80.053	19.997	100.659	20.109	-11.282	0.160	899.081
9.000	75.816	80.054	19.996	100.670	20.108	-11.789	0.220	899.091
9.500	75.943	80.054	19.997	100.671	20.106	-11.812	0.260	899.057
9.999	76.038	80.054	19.997	100.671	20.105	-11.563	0.222	899.071
10.500	76.183	80.058	19.997	100.665	20.094	-10.242	0.239	899.060
11.000	76.297	80.058	19.996	100.658	20.071	-8.016	0.259	899.049
11.500	76.457	80.056	19.996	100.645	20.044	-5.378	0.274	899.074
12.000	76.624	80.056	19.996	100.646	20.012	-2.284	0.327	899.106
12.500	76.772	80.054	19.997	100.672	19.984	0.500	0.315	899.076
13.000	76.955	80.055	19.996	100.748	19.963	2.711	0.332	899.088
13.499	77.173	80.055	19.996	100.862	19.947	4.573	0.401	899.063
13.999	77.390	80.053	19.995	101.003	19.941	5.682	0.435	899.066
14.500	77.633	80.056	19.995	101.163	19.938	6.488	0.460	899.100
15.000	77.904	80.056	19.996	101.309	19.939	6.926	0.513	899.062
15.500	78.174	80.055	19.996	101.406	19.943	7.122	0.540	899.083
16.001	78.496	80.055	19.995	101.464	19.948	7.106	0.591	899.046
16.501	78.761	80.056	19.995	101.491	19.955	6.996	0.588	899.100
17.000	79.118	80.054	19.995	101.481	19.960	6.937	0.623	899.079
17.500	79.423	80.055	19.995	101.454	19.965	6.922	0.662	899.062
18.000	79.799	80.055	19.995	101.418	19.974	6.593	0.681	899.094
18.500	80.167	80.056	19.994	101.380	19.982	6.350	0.744	899.051
19.000	80.520	80.053	19.994	101.341	19.989	6.120	0.721	899.065
19.499	80.905	80.051	19.994	101.298	19.996	5.963	0.739	899.066
20.000	81.333	80.055	19.993	101.254	20.002	5.899	0.813	899.038
20.500	81.702	80.053	19.996	101.210	20.013	5.322	0.796	899.057
21.000	82.103	80.054	19.996	101.167	20.020	5.028	0.771	899.056
21.500	82.532	80.055	19.994	101.121	20.024	4.906	0.831	899.064
21.999	82.962	80.052	19.995	101.084	20.027	4.837	0.859	899.070
22.500	83.400	80.051	19.994	101.049	20.038	4.056	0.868	899.093
23.000	83.844	80.051	19.996	101.018	20.043	3.762	0.882	899.089
23.500	84.251	80.052	19.997	100.987	20.048	3.477	0.850	899.052
24.000	84.736	80.055	19.996	100.964	20.051	3.295	0.891	899.054
24.501	85.182	80.053	19.996	100.939	20.054	3.150	0.931	899.093
25.000	85.647	80.053	19.997	100.913	20.059	2.880	0.912	899.059
25.500	86.155	80.056	19.996	100.888	20.064	2.681	0.972	899.091
26.000	86.583	80.054	19.998	100.866	20.070	2.454	0.936	899.058
26.500	87.094	80.055	19.998	100.840	20.071	2.386	0.940	899.061
27.000	87.566	80.057	19.997	100.813	20.078	1.978	0.983	899.079
27.500	88.014	80.055	19.997	100.790	20.081	1.807	0.919	899.074
28.000	88.500	80.056	19.997	100.772	20.082	1.816	0.934	899.056
28.500	88.983	80.055	19.998	100.755	20.083	1.782	0.968	899.080
29.001	89.488	80.055	19.998	100.743	20.087	1.515	0.987	899.063
29.501	89.984	80.056	19.997	100.733	20.088	1.605	1.001	899.077
30.000	90.480	80.055	19.998	100.732	20.093	1.360	0.993	899.065
30.500	90.962	80.058	19.997	100.729	20.096	1.238	0.978	899.053
31.001	91.488	80.058	19.998	100.723	20.096	1.300	1.008	899.057
31.500	91.951	80.055	19.999	100.717	20.099	1.203	0.989	899.064
32.000	92.479	80.057	20.000	100.710	20.100	1.214	0.991	899.089
32.500	92.972	80.056	19.999	100.695	20.104	0.958	1.022	899.079
33.000	93.519	80.055	19.998	100.682	20.102	1.228	1.040	899.067
33.500	94.034	80.056	19.997	100.673	20.107	0.910	1.061	899.083
34.000	94.497	80.055	19.998	100.668	20.109	0.822	0.979	899.101
34.500	95.025	80.056	19.998	100.664	20.110	0.691	0.992	899.075
35.000	95.580	80.056	19.997	100.659	20.110	0.822	1.082	899.068
35.500	96.092	80.055	19.997	100.656	20.115	0.570	1.065	899.097
36.001	96.581	80.057	19.998	100.652	20.115	0.645	1.000	899.059
36.501	97.151	80.056	19.997	100.643	20.117	0.601	1.060	899.094
37.001	97.627	80.056	19.998	100.634	20.118	0.635	1.047	899.035
37.500	98.176	80.057	19.998	100.627	20.117	0.836	1.025	899.058
38.000	98.724	80.057	19.998	100.620	20.123	0.318	1.098	899.084
