File Name:	PS_16.txt	Version: 8.3.7.3						
Date:	09 Aug 2024
Operator:	KH
Test ID:	PS_16
Sample ID:	PS_16
Sample Mass (mg):	2.8800
Sample Cup Mass (mg):	182.3000
End Total Mass (mg):	0.0100
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.800
Baseline O2:	20.363
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.152	80.017	19.979	99.800	20.396	-18.630	-0.032	898.869
0.500	75.176	80.023	19.980	99.791	20.377	-16.930	-0.018	898.900
1.001	75.165	80.019	19.980	99.788	20.356	-14.845	0.014	898.870
1.501	75.193	80.020	19.979	99.808	20.331	-12.159	0.017	898.913
2.001	75.198	80.016	19.980	99.858	20.311	-10.020	0.033	898.895
2.501	75.261	80.018	19.979	99.938	20.295	-8.190	0.068	898.887
3.001	75.251	80.020	19.980	100.046	20.283	-6.762	0.053	898.871
3.501	75.311	80.017	19.981	100.166	20.267	-4.965	0.051	898.868
4.001	75.383	80.019	19.980	100.277	20.264	-4.564	0.132	898.863
4.500	75.430	80.018	19.980	100.365	20.253	-3.507	0.119	898.844
5.000	75.501	80.019	19.980	100.431	20.250	-3.740	0.118	898.860
5.500	75.585	80.020	19.979	100.485	20.242	-4.588	0.154	898.867
6.001	75.643	80.019	19.980	100.531	20.237	-6.484	0.141	898.868
6.501	75.723	80.021	19.980	100.572	20.233	-9.042	0.138	898.889
7.001	75.824	80.020	19.980	100.605	20.241	-13.018	0.181	898.885
7.501	75.920	80.020	19.980	100.629	20.254	-17.364	0.197	898.864
8.001	76.045	80.020	19.980	100.640	20.236	-17.790	0.221	898.923
8.500	76.199	80.020	19.979	100.640	20.237	-19.019	0.279	898.879
9.000	76.329	80.018	19.980	100.638	20.236	-19.012	0.284	898.863
