File Name:	PMMA_DE_6mm_60Kmin_4mg_R3.txt	Version: 8.3.7.3
Date:	15 Aug 2024
Operator:	KH
Test ID:	PMMA_CN_6mm_4mg_60K_R3
Sample ID:	PMMA_CN_6mm_4mg
Sample Mass (mg):	4.0000
Sample Cup Mass (mg):	182.3200
End Total Mass (mg):	0.0000
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.329
Baseline O2:	20.333
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.888	80.061	19.977	100.329	20.315	-9.240	0.017	899.120
0.500	74.887	80.062	19.976	100.324	20.302	-8.125	0.012	899.129
0.999	74.913	80.060	19.976	100.316	20.281	-6.316	0.025	899.123
1.500	74.922	80.061	19.978	100.327	20.261	-4.630	0.034	899.154
1.999	74.932	80.062	19.977	100.375	20.244	-3.143	0.019	899.111
2.499	74.976	80.060	19.977	100.451	20.232	-2.075	0.054	899.122
3.000	75.049	80.060	19.977	100.549	20.221	-1.160	0.117	899.140
3.500	75.075	80.061	19.978	100.665	20.214	-0.553	0.100	899.133
4.000	75.120	80.063	19.979	100.776	20.214	-0.432	0.071	899.122
4.499	75.192	80.062	19.978	100.863	20.210	-0.224	0.117	899.147
4.999	75.273	80.061	19.978	100.933	20.208	-0.355	0.153	899.109
5.499	75.346	80.063	19.979	100.987	20.206	-0.913	0.154	899.149
6.000	75.422	80.061	19.978	101.019	20.204	-2.055	0.150	899.140
6.500	75.512	80.060	19.978	101.043	20.205	-3.825	0.166	899.137
7.000	75.617	80.063	19.979	101.056	20.203	-5.722	0.195	899.127
7.500	75.734	80.058	19.978	101.051	20.204	-7.772	0.222	899.116
7.999	75.856	80.058	19.977	101.042	20.204	-9.444	0.239	899.088
8.499	75.961	80.058	19.977	101.032	20.207	-10.878	0.227	899.155
8.999	76.078	80.058	19.976	101.019	20.202	-11.088	0.222	899.124
9.499	76.243	80.059	19.977	101.009	20.203	-11.272	0.282	899.112
9.999	76.381	80.059	19.978	101.004	20.201	-10.926	0.303	899.165
10.499	76.529	80.056	19.977	100.999	20.192	-9.843	0.285	899.123
11.000	76.695	80.058	19.978	100.997	20.168	-7.535	0.314	899.135
11.501	76.833	80.057	19.978	100.994	20.142	-4.919	0.305	899.118
12.000	76.981	80.058	19.977	100.996	20.111	-1.841	0.286	899.107
12.499	77.177	80.060	19.978	101.018	20.085	0.812	0.344	899.118
12.999	77.393	80.059	19.979	101.078	20.066	3.044	0.411	899.127
13.500	77.624	80.058	19.977	101.188	20.053	4.679	0.447	899.128
14.000	77.866	80.054	19.977	101.333	20.048	5.715	0.473	899.108
14.500	78.116	80.055	19.977	101.489	20.046	6.437	0.492	899.127
14.999	78.397	80.057	19.977	101.630	20.046	6.990	0.531	899.141
15.500	78.659	80.055	19.977	101.733	20.051	7.039	0.543	899.129
16.000	78.980	80.058	19.976	101.786	20.057	6.992	0.584	899.118
16.499	79.293	80.059	19.977	101.802	20.061	7.100	0.634	899.099
17.000	79.649	80.057	19.977	101.791	20.070	6.762	0.668	899.135
17.500	79.996	80.056	19.976	101.771	20.075	6.609	0.702	899.141
18.001	80.359	80.058	19.977	101.742	20.083	6.259	0.711	899.120
18.500	80.743	80.058	19.978	101.707	20.089	6.166	0.748	899.097
18.999	81.081	80.059	19.977	101.664	20.098	5.761	0.722	899.158
19.499	81.515	80.057	19.977	101.620	20.103	5.671	0.773	899.134
19.999	81.903	80.055	19.976	101.572	20.110	5.497	0.822	899.115
20.499	82.288	80.058	19.977	101.523	20.116	5.452	0.773	899.106
20.999	82.721	80.058	19.978	101.477	20.124	5.092	0.818	899.144
21.500	83.167	80.059	19.976	101.441	20.128	4.970	0.878	899.108
22.000	83.527	80.057	19.976	101.401	20.128	5.141	0.806	899.112
22.500	84.034	80.057	19.977	101.363	20.134	4.780	0.868	899.142
23.000	84.473	80.057	19.976	101.336	20.144	4.190	0.947	899.160
23.499	84.942	80.058	19.976	101.308	20.144	4.306	0.908	899.133
24.000	85.365	80.057	19.977	101.279	20.153	3.776	0.892	899.108
24.500	85.825	80.056	19.976	101.259	20.155	3.714	0.882	899.116
25.000	86.311	80.055	19.976	101.244	20.160	3.458	0.946	899.143
25.500	86.792	80.055	19.975	101.223	20.165	3.221	0.968	899.143
25.999	87.265	80.057	19.976	101.200	20.165	3.295	0.953	899.139
26.500	87.727	80.055	19.977	101.179	20.168	3.080	0.934	899.122
27.001	88.217	80.056	19.977	101.153	20.172	2.797	0.952	899.147
27.501	88.701	80.059	19.977	101.126	20.175	2.686	0.974	899.171
28.000	89.184	80.056	19.977	101.100	20.177	2.619	0.967	899.105
28.500	89.697	80.059	19.976	101.082	20.181	2.396	0.997	899.168
29.000	90.193	80.060	19.976	101.068	20.185	2.076	1.010	899.136
29.499	90.691	80.057	19.977	101.062	20.186	2.072	0.994	899.177
30.000	91.161	80.056	19.976	101.056	20.190	1.867	0.966	899.163
30.501	91.674	80.055	19.976	101.048	20.194	1.549	0.983	899.159
31.001	92.188	80.057	19.976	101.037	20.195	1.506	1.026	899.138
31.501	92.683	80.060	19.976	101.022	20.195	1.602	1.008	899.123
32.001	93.210	80.058	19.976	101.012	20.199	1.382	1.023	899.150
32.500	93.717	80.059	19.976	101.004	20.199	1.461	1.035	899.140
33.000	94.217	80.062	19.975	101.000	20.201	1.481	1.006	899.161
33.500	94.724	80.059	19.977	100.996	20.206	1.260	1.007	899.163
34.000	95.252	80.060	19.977	100.996	20.206	1.354	1.035	899.161
34.500	95.758	80.061	19.977	100.990	20.205	1.553	1.034	899.158
35.000	96.279	80.059	19.978	100.981	20.206	1.505	1.027	899.138
35.500	96.783	80.059	19.978	100.974	20.210	1.261	1.025	899.152
36.000	97.307	80.058	19.977	100.973	20.212	1.042	1.029	899.159
36.500	97.838	80.060	19.977	100.970	20.211	1.188	1.055	899.144
37.000	98.344	80.062	19.976	100.964	20.212	1.145	1.037	899.168
37.500	98.899	80.060	19.977	100.963	20.215	1.018	1.060	899.168
38.000	99.426	80.062	19.977	100.964	20.218	0.856	1.081	899.158
38.500	99.975	80.062	19.977	100.957	20.220	0.787	1.077	899.186
39.000	100.481	80.060	19.977	100.953	20.219	0.962	1.055	899.156
39.500	101.018	80.062	19.977	100.948	20.223	0.742	1.043	899.176
40.000	101.534	80.058	19.976	100.936	20.224	0.661	1.053	899.164
40.500	102.065	80.060	19.978	100.921	20.224	0.709	1.047	899.164
41.001	102.563	80.060	19.977	100.913	20.229	0.395	1.028	899.160
41.500	103.103	80.060	19.977	100.904	20.227	0.543	1.039	899.192
42.000	103.618	80.060	19.977	100.898	20.228	0.520	1.055	899.149
42.500	104.189	80.057	19.977	100.898	20.230	0.486	1.086	899.177
43.000	104.684	80.058	19.978	100.901	20.229	0.661	1.067	899.177
43.500	105.239	80.060	19.978	100.900	20.229	0.708	1.050	899.179
44.000	105.789	80.058	19.976	100.897	20.230	0.691	1.105	899.139
44.500	106.308	80.058	19.977	100.892	20.233	0.460	1.069	899.172
45.000	106.841	80.061	19.977	100.884	20.233	0.535	1.053	899.171
45.499	107.350	80.061	19.977	100.876	20.233	0.514	1.042	899.179
46.000	107.929	80.061	19.978	100.870	20.234	0.508	1.086	899.196
46.501	108.461	80.058	19.977	100.864	20.236	0.431	1.111	899.210
47.001	108.961	80.057	19.977	100.864	20.235	0.507	1.033	899.191
47.501	109.511	80.059	19.977	100.864	20.235	0.625	1.050	899.178
48.000	110.044	80.058	19.977	100.860	20.236	0.578	1.083	899.176
48.500	110.570	80.058	19.977	100.855	20.237	0.551	1.060	899.208
49.000	111.103	80.059	19.977	100.852	20.237	0.569	1.059	899.187
49.500	111.652	80.058	19.976	100.847	20.234	0.812	1.081	899.180
50.001	112.163	80.058	19.976	100.836	20.236	0.705	1.061	899.187
50.500	112.695	80.060	19.976	100.833	20.235	0.801	1.043	899.221
51.000	113.256	80.060	19.976	100.830	20.236	0.744	1.092	899.187
51.501	113.762	80.060	19.976	100.826	20.241	0.339	1.067	899.227
52.001	114.324	80.060	19.976	100.825	20.240	0.369	1.068	899.200
52.501	114.839	80.059	19.976	100.827	20.240	0.324	1.077	899.203
53.001	115.353	80.058	19.977	100.826	20.244	0.037	1.029	899.204
53.500	115.889	80.056	19.976	100.820	20.243	0.232	1.051	899.192
54.000	116.436	80.056	19.977	100.815	20.243	0.309	1.083	899.212
54.500	116.969	80.058	19.977	100.809	20.246	0.205	1.079	899.234
55.000	117.496	80.057	19.977	100.804	20.241	0.712	1.060	899.218
55.500	118.019	80.059	19.977	100.800	20.244	0.570	1.051	899.228
55.999	118.617	80.061	19.976	100.802	20.240	0.839	1.121	899.232
56.500	119.107	80.061	19.976	100.802	20.244	0.541	1.087	899.216
57.000	119.628	80.059	19.977	100.798	20.244	0.561	1.011	899.252
57.500	120.179	80.060	19.978	100.797	20.245	0.525	1.072	899.220
58.000	120.700	80.060	19.977	100.797	20.248	0.227	1.071	899.234
58.500	121.264	80.063	19.977	100.791	20.245	0.407	1.085	899.248
59.000	121.796	80.061	19.977	100.793	20.247	0.328	1.096	899.243
59.500	122.320	80.060	19.977	100.802	20.248	0.239	1.056	899.229
60.000	122.863	80.059	19.977	100.804	20.248	0.134	1.068	899.261
60.500	123.384	80.058	19.976	100.802	20.249	0.010	1.064	899.295
61.000	123.915	80.059	19.977	100.795	20.250	0.002	1.051	899.235
61.501	124.409	80.061	19.977	100.782	20.246	0.454	1.024	899.244
