DPT_zero_span_1,DPT_zero_span_2,DPT_calib_V_1,DPT_calib_V_2,O2Inlet_zero_span_1,O2Inlet_zero_span_2,O2Inlet_calib_V_1,O2Inlet_calib_V_2,CO_zero_span_1,CO_zero_span_2,CO_calib_V_1,CO_calib_V_2,CO2_zero_span_1,CO2_zero_span_2,CO2_calib_V_1,CO2_calib_V_2,O2_zero_span_1,O2_zero_span_2,O2_calib_V_1,O2_calib_V_2,desired_heat_flux,heatflux_calib,,,,,,,,,,,,,,,,,
0,500,0.0235492211,5.02635,0,20.95,2.25158433,4.13856064,0,412,2.00341937,8.5155951,0,2556,2.0530689,5.94240805,0,NaN,2.25310682,2.57879588,15,0.1017,,,used for flow rate calc,,,,,,,,,,,,,,
timestamp,test_time,v_data_1,v_data_2,v_data_3,v_data_4,v_data_5,v_data_6,v_data_7,v_data_8,v_data_9,v_data_10,v_data_11,v_data_12,v_data_13,temperatures_1,temperatures_2,temperatures_3,mass,MLR,smooth_MLR,conc_O2,conc_CO,conc_CO2,DPT_Pa,RH_ambient,T_cold_trap,T_duct,T_ambient,Q_OC__O2_CO2_CO,IR_Controller,O2_inlet,conc_CO2_hood,conc_CO_hood,conc_O2_hood,Extra TCs_1,Extra TCs_2,Extra TCs_3,Extra TCs_4
20260513151710,0,9.7943786,0.12549578,2.0027057,2.7320444,-0.000365671,-0.000714245,0.002371091,1.2004121,-0.001668389,0.000635405,-0.000860492,4.131134,-0.000959042,289.534,287.836,288.586,-0.1,NaN,NaN,NaN,-0.0451511218661693,446.209834387932,10.1889484916104,-0.01918084,289.534,287.836,288.586,-0.00966874704295496+0i,0.000635405,20.8675463373994,432.190012987261,21.701751275989,20.8675908106977,-9.9E+037,-9.9E+037,-9.9E+037,197.754
20260513151713.6,3.55000086128712,9.7943676,0.10069322,2.0029133,2.7336401,-0.000368829,-0.000703791,0.002402998,1.200423,-0.00010367,0.000636603,0.037232812,4.1310684,0.00093082,289.532,287.817,288.6,0.01,NaN,NaN,NaN,-0.0320170782613616,447.258498194996,7.71008104353934,0.0186164,289.532,287.817,288.6,0.00119717881022404+0i,0.000636603,20.8668180187699,423.950421915058,23.3148124442741,20.8668527786169,9.9E+037,784.66,-9.9E+037,358.498
20260513151715.9,5.85499741137028,9.7950343,0.10830793,2.0029789,2.7336511,-0.000366106,-0.000709018,0.002403542,1.2004121,0.31085107,0.000635187,-0.11291994,4.1315275,0.53206306,289.513,287.806,288.668,0,NaN,NaN,NaN,-0.0278668217080025,447.265727186584,8.4711257399538,10.6412612,289.513,287.806,288.668,-0.0205450313409839+0i,0.000635187,20.8719151389346,423.538755178119,23.3285141221518,20.8687123827738,-9.9E+037,-9.9E+037,-9.9E+037,372.983
20260513151718,7.96800144016743,9.794466,0.081668948,2.0027603,2.7341648,-0.000365562,-0.000707058,0.002394068,1.2004995,0.10211618,0.00063388,0.006950802,4.1316477,0.6763935,289.534,287.787,288.733,0,NaN,NaN,NaN,-0.0416967924787883,447.603321093765,5.8087189025325,13.52787,289.534,287.787,288.733,-0.0147135640780421+0i,0.00063388,20.8732496495942,424.911394723475,23.3694945950756,20.8684469171529,9.9E+037,758.448,482.544,557.385
20260513151720,10.0310057401657,9.7945753,0.11325863,2.0029133,2.7342741,-0.00036284,-0.000712938,0.002357915,1.2005542,0.23466356,0.000636494,-0.1155945,4.131604,0.58658638,289.54,287.782,288.806,-0.06,NaN,NaN,NaN,-0.0320170782613616,447.675150982912,8.96591857888517,11.7317276,289.54,287.782,288.806,-0.02714883531652+0i,0.000636494,20.8727644739218,424.637367321075,22.5082818601313,20.8692142661056,-9.9E+037,-9.9E+037,127.16,464.51
20260513151722.1,12.1050037443638,9.7944004,0.11259884,2.0028587,2.7337385,-0.000366324,-0.00071381,0.002390366,1.200576,0.33672523,0.000638345,-0.082610436,4.1310138,0.58448467,289.518,287.793,288.804,-0.1,NaN,NaN,NaN,-0.0354714076487426,447.32316481066,8.89997651671244,11.6896934,289.518,287.793,288.804,-0.0258716748227552+0i,0.000638345,20.8662118267399,432.739319058744,22.4810030650851,20.8689485315226,9.9E+037,-9.9E+037,-9.9E+037,466.097
20260513151724.1,14.129002019763,9.7945097,0.083225936,2.0030336,2.7337932,-0.000365017,-0.000710434,0.002360855,1.200423,0.13003859,0.000637692,0.007720911,4.1310684,0.71054244,289.54,287.771,288.863,0.08,NaN,NaN,NaN,-0.0244061657100048,447.359112614286,5.9643305357767,14.2108488,289.54,287.771,288.863,-0.0170842148481576+0i,0.000637692,20.8668180187699,432.6016797242,22.5356852158861,20.8685354056932,9.9E+037,624.913,344.002,663.693
20260513151726.2,16.226003319025,9.7944551,0.12994584,2.0030882,2.7347112,-0.000362948,-0.000714463,0.002417698,1.2004777,0.40603908,0.000634969,0.10809939,4.1314072,0.61380711,289.515,287.79,288.888,0.08,NaN,NaN,NaN,-0.0209518363226238,447.962404821395,10.6337053584808,12.2761422,289.515,287.79,288.888,-0.0325317384116216+0i,0.000634969,20.8705795180333,426.559312937917,21.8794994062705,20.8694208290204,702.892,528.563,153.48,482.761
