DPT_zero_span_1,DPT_zero_span_2,DPT_calib_V_1,DPT_calib_V_2,O2Inlet_zero_span_1,O2Inlet_zero_span_2,O2Inlet_calib_V_1,O2Inlet_calib_V_2,CO_zero_span_1,CO_zero_span_2,CO_calib_V_1,CO_calib_V_2,CO2_zero_span_1,CO2_zero_span_2,CO2_calib_V_1,CO2_calib_V_2,O2_zero_span_1,O2_zero_span_2,O2_calib_V_1,O2_calib_V_2,desired_heat_flux,heatflux_calib
0,500,0.0235492211,5.02635,0,20.95,2.25158433,4.13856064,0,412,2.00341937,8.5155951,0,2556,2.0530689,5.94240805,0,NaN,2.25310682,2.57879588,15,0.1017
timestamp,test_time,v_data_1,v_data_2,v_data_3,v_data_4,v_data_5,v_data_6,v_data_7,v_data_8,v_data_9,v_data_10,v_data_11,v_data_12,v_data_13,temperatures_1,temperatures_2,temperatures_3,mass,MLR,smooth_MLR,conc_O2,conc_CO,conc_CO2,DPT_Pa,RH_ambient,T_cold_trap,T_duct,T_ambient,Q_OC__O2_CO2_CO,IR_Controller,O2_inlet,conc_CO2_hood,conc_CO_hood,conc_O2_hood,Extra TCs_1,Extra TCs_2,Extra TCs_3,Extra TCs_4
20260513180531.8,0,9.791373,0.11964024,2.0027385,2.7303285,-0.000413476,-0.000712503,0.002347025,1.2045434,-0.00117335,0.000638672,-0.00107872,4.1313198,-0.000702593,289.133,287.68,289.389,-0.03,NaN,NaN,NaN,-0.0430759935894969,445.082177418239,9.603722309439,-0.01405186,289.133,287.68,289.389,-0.0093537432551004+0i,0.000638672,20.8696091666885,423.950421915058,21.6197903301413,20.8668823644511,220.852,-9.9e+37,-9.9e+37,106.521
20260513180535.3,3.49600799381733,9.7923348,0.12740109,2.0030554,2.7300553,-0.000412823,-0.000707494,0.002385901,1.2045544,0.00056744,0.000636929,0.010348342,4.1317789,0.00039393,289.144,287.693,289.427,-0.06,NaN,NaN,NaN,-0.0230269645992962,444.902635554424,10.3793728243198,0.0078786,289.144,287.693,289.427,-0.0333788599483736+0i,0.000636929,20.8747062868532,424.362088651997,21.7154529538666,20.8686830659017,9.9e+37,698.224,-9.9e+37,-9.9e+37
20260513180537.6,5.73799945414066,9.7914057,0.16226152,2.0026838,2.7300443,-0.000409556,-0.000713918,0.002352361,1.2046527,0.12665469,0.000635623,0.007987596,4.1321395,0.64688446,289.15,287.69,289.348,-0.08,NaN,NaN,NaN,-0.0465366495874946,444.895406562835,13.8634641904031,12.9376892,289.15,287.69,289.348,-0.0395528307567113+0i,0.000635623,20.8787098188318,424.911394723475,22.521983538009,20.8687123827738,755.635,747.246,614.585,443.314
20260513180539.6,7.80100375413895,9.7917336,0.1031463,2.0030991,2.7296071,-0.000414238,-0.000710869,0.002388841,1.2045872,0.16003433,0.000637256,-0.004528532,4.13191,0.66170337,289.141,287.696,289.337,-0.15,NaN,NaN,NaN,-0.0202622357672624,444.608087006247,7.95525170977356,13.2340674,289.141,287.696,289.337,-0.031111056025924+0i,0.000637256,20.8761618138704,424.362088651997,23.2054481426717,20.8688011402762,-9.9e+37,336.176,651.565,520.586
20260513180541.9,10.027002543211,9.7917336,0.11871488,2.0026947,2.7293886,-0.000408685,-0.000715334,0.00240964,1.2045653,0.19914073,0.000634207,0.072989866,4.1311122,0.73301194,289.136,287.693,289.318,-0.16,NaN,NaN,NaN,-0.045847049032119,444.464492946058,9.51123811499507,14.6602388,289.136,287.693,289.318,-0.0279906375630409+0i,0.000634207,20.8673043046841,423.812782580515,23.2328514984265,20.8683288427784,-9.9e+37,107.478,596.101,-9.9e+37
20260513180544.1,12.2460007667542,9.7922036,0.05710513,2.0028696,2.7292574,-0.000413694,-0.000716096,0.002425539,1.2046637,0.33930817,0.000632574,0.11365164,4.1322925,0.76460304,289.122,287.712,289.321,-0.2,NaN,NaN,NaN,-0.0347818070933954,444.378270791839,3.35371228867719,15.2920608,289.122,287.712,289.321,-0.0272388111437224+0i,0.000632574,20.8804084888061,424.362088651997,23.3968979508304,20.8697457352717,-9.9e+37,224.292,571.049,-9.9e+37
20260513180546.1,14.2500031739473,9.7914385,0.11565399,2.0027166,2.7287437,-0.00041304,-0.000715007,0.002366409,1.2046527,0.29322114,0.000633445,0.1089576,4.1310466,0.75597578,289.141,287.707,289.31,-0.28,NaN,NaN,NaN,-0.0444615213108221,444.040676884658,9.20532047652847,15.1195156,289.141,287.707,289.31,-0.0519457568238615+0i,0.000633445,20.8665759860546,424.224449317458,23.3285141221518,20.8703065213097,-9.9e+37,350.222,669.802,-9.9e+37
20260513180548.1,16.2500023841858,9.7913183,0.12086024,2.0026838,2.7288421,-0.00041206,-0.000707167,0.002379367,1.2045434,0.23676963,0.000639216,-0.11882628,4.1312324,0.59953056,289.133,287.707,289.335,-0.28,NaN,NaN,NaN,-0.0465366495874946,444.105343500322,9.72565400869289,11.9906112,289.133,287.707,289.335,-0.0348689095151962+0i,0.000639216,20.8686388153437,424.499727986536,23.3422158000294,20.8688304571482,-9.9e+37,-9.9e+37,467.29,316.175
20260513180550.1,18.2850044220686,9.7915697,0.10851626,2.0028915,2.7287328,-0.000410209,-0.000714027,0.002348005,1.204609,0.14865825,0.000630505,0.053238174,4.1315056,0.66368286,289.131,287.709,289.34,-0.55,NaN,NaN,NaN,-0.0333962793720701,444.033513611175,8.49194707676164,13.2736572,289.131,287.709,289.34,-0.0153517724030821+0i,0.000630505,20.8716719959775,423.812782580515,23.3148124442741,20.867384247783,9.9e+37,99.707,410.595,682.478
20260513180552.1,20.2890068292618,9.7923894,0.1133504,2.0030773,2.728853,-0.000407705,-0.000709454,0.002384159,1.2046637,0.36123427,0.000629633,0.1140099,4.1314947,0.69820608,289.131,287.704,289.359,-0.56,NaN,NaN,NaN,-0.0216414368779709,444.112506773805,8.97509044121348,13.9641216,289.131,287.704,289.359,-0.0156659244336877+0i,0.000629633,20.8715509796199,424.773755388936,23.3148124442741,20.8673546619488,307.208,392.028,245.147,248.599
20260513180554.3,22.4100071936846,9.7915697,0.17524825,2.0029461,2.7292246,-0.000406398,-0.00071773,0.002419441,1.2046309,0.37971205,0.000634098,-0.11698073,4.1315603,0.55625456,289.117,287.709,289.348,-0.38,NaN,NaN,NaN,-0.0299419499846891,444.356715253284,15.1614101384781,11.1250912,289.117,287.709,289.348,-0.0396445421802344+0i,0.000634098,20.8722792982494,423.812782580515,22.5766656888104,20.8686238942335,-9.9e+37,-9.9e+37,103.727,466.193
20260513180556.3,24.4329996407032,9.7917008,0.10126284,2.0026947,2.7294869,-0.000407596,-0.00071479,0.002393633,1.2046418,0.3506013,0.000634643,-0.1188045,4.1312214,0.60031842,289.139,287.726,289.297,-0.44,NaN,NaN,NaN,-0.045847049032119,444.529093843616,7.76701115380902,12.0063684,289.139,287.726,289.297,-0.0260377286110137+0i,0.000634643,20.8685166887442,423.812782580515,22.5629640109328,20.8684173313187,9.9e+37,-9.9e+37,-9.9e+37,415.017
20260513180558.3,26.4610011130571,9.7923675,0.1319035,2.0029789,2.7293886,-0.000408902,-0.000717076,0.00239984,1.2046527,0.17273297,0.00063584,-0.060968599,4.1309919,0.63959831,289.136,287.704,289.291,-0.47,NaN,NaN,NaN,-0.0278668217080025,444.464492946058,10.8293617604163,12.7919662,289.136,287.704,289.291,-0.0383164967519806+0i,0.00063584,20.8659686837828,424.224449317458,22.5492623330556,20.8689781173568,9.9e+37,295.609,127.07,684.43
20260513180600.4,28.5900078713894,9.7923566,0.07932912,2.0027494,2.729782,-0.0004052,-0.00071381,0.00237316,1.2045434,0.13968835,0.000634098,0.012545854,4.1316368,0.73339824,289.147,287.709,289.307,-0.3,NaN,NaN,NaN,-0.0423863930341355,444.723027972503,5.5748670959736,14.6679648,289.147,287.709,289.307,-0.0141516244954885+0i,0.000634098,20.8731286332365,423.812782580515,21.6744724809419,20.8676203965318,1559.22,281.583,316.382,447.239
20260513180602.5,30.6640058755875,9.7922255,0.080410117,2.0029789,2.7298148,-0.000415327,-0.000709345,0.002371745,1.2045653,0.30289273,0.000631811,-0.11286201,4.1315056,0.60567526,289.125,287.707,289.316,-0.46,NaN,NaN,NaN,-0.0278668217080025,444.744583511058,5.68290627720177,12.1135052,289.125,287.707,289.316,-0.0173587789990369+0i,0.000631811,20.8716719959775,425.323061460419,20.5671277870379,20.867945033821,418.358,-9.9e+37,-9.9e+37,369.087
20260513180604.6,32.7690035104752,9.793078,0.13861349,2.0030991,2.7295088,-0.000412496,-0.000708474,0.002353995,1.2046309,0.45732361,0.000622773,0.10454428,4.1311559,0.63054766,289.125,287.715,289.313,-0.41,NaN,NaN,NaN,-0.0202622357672624,444.543486108688,11.4999851068726,12.6109532,289.125,287.715,289.313,-0.0316764190428034+0i,0.000622773,20.8677894803565,424.224449317458,20.594406582085,20.8684762340249,9.9e+37,668.505,-9.9e+37,437.822
20260513180606.6,34.7649995237589,9.7924113,0.1577984,2.0028478,2.7298804,-0.000411407,-0.000712503,0.002415085,1.2047292,0.41892977,0.000622337,-0.005463181,4.1316477,0.61875038,289.109,287.715,289.351,-0.43,NaN,NaN,NaN,-0.036161008204104,444.787694588167,13.4174020546866,12.3750076,289.109,287.715,289.351,-0.0351425118040293+0i,0.000622337,20.8732496495942,424.362088651997,20.6081082599621,20.8685354056932,-9.9e+37,171.998,-9.9e+37,-9.9e+37
20260513180608.7,36.8590034544468,9.7923675,0.10686245,2.0026947,2.7294213,-0.000411625,-0.000716859,0.002404086,1.2047183,0.26904822,0.000636385,-0.11244341,4.1318554,0.64842964,289.125,287.696,289.278,-0.41,NaN,NaN,NaN,-0.045847049032119,444.485982766507,8.32665866402141,12.9685928,289.125,287.696,289.278,-0.0277231303335006+0i,0.000636385,20.8755556218403,424.637367321075,20.5397244312835,20.8685354056932,9.9e+37,132.561,-9.9e+37,314.307
20260513180610.8,38.9290083199739,9.7924331,0.1410011,2.0027713,2.7293558,-0.000409774,-0.000711849,0.002389712,1.2046964,0.1980004,0.000634969,0.11675864,4.1310029,0.75445571,289.141,287.68,289.229,-0.39,NaN,NaN,NaN,-0.0410008653128102,444.442937407503,11.7386124383936,15.0891142,289.141,287.68,289.229,-0.0288776619090633+0i,0.000634969,20.8660908103822,424.911394723475,20.4987439583597,20.868240085276,9.9e+37,868.685,374.945,268.294
