"Time","TC_00 Ave. (C)","TC_01 Ave. (C)","TC_02 Ave. (C)","TC_03 Ave. (C)","Cold_water Ave. (C)","Hot_water Ave. (C)"
"00:00:00.000","12.877","12.734","12.620","12.250","9.575","9.892"
"00:00:00.100","12.875","12.733","12.623","12.252","9.575","9.892"
"00:00:00.200","12.872","12.732","12.625","12.254","9.576","9.892"
"00:00:00.300","12.869","12.732","12.628","12.256","9.577","9.892"
"00:00:00.400","12.867","12.736","12.629","12.255","9.577","9.891"
"00:00:00.500","12.865","12.740","12.630","12.254","9.577","9.891"
"00:00:00.600","12.863","12.745","12.631","12.253","9.577","9.890"
"00:00:00.700","12.861","12.749","12.632","12.252","9.577","9.890"
"00:00:00.800","12.859","12.753","12.633","12.251","9.577","9.889"
"00:00:00.900","12.857","12.757","12.634","12.250","9.577","9.889"
"00:00:01.000","12.855","12.762","12.635","12.249","9.577","9.888"
"00:00:01.100","12.856","12.759","12.632","12.248","9.575","9.889"
"00:00:01.200","12.858","12.756","12.629","12.248","9.573","9.889"
"00:00:01.300","12.859","12.754","12.626","12.247","9.572","9.890"
"00:00:01.400","12.861","12.751","12.623","12.247","9.570","9.890"
"00:00:01.500","12.863","12.748","12.619","12.246","9.568","9.891"
"00:00:01.600","12.864","12.746","12.616","12.246","9.567","9.891"
"00:00:01.700","12.866","12.743","12.613","12.245","9.565","9.892"
"00:00:01.800","12.863","12.741","12.610","12.245","9.566","9.889"
"00:00:01.900","12.860","12.739","12.607","12.245","9.566","9.886"
"00:00:02.000","12.858","12.737","12.603","12.245","9.567","9.884"
"00:00:02.100","12.855","12.735","12.600","12.245","9.567","9.881"
"00:00:02.200","12.852","12.732","12.597","12.245","9.568","9.878"
"00:00:02.300","12.850","12.730","12.594","12.245","9.568","9.876"
"00:00:02.400","12.847","12.728","12.591","12.245","9.569","9.873"
"00:00:02.500","12.849","12.728","12.591","12.246","9.570","9.874"
"00:00:02.600","12.850","12.728","12.591","12.247","9.570","9.875"
"00:00:02.700","12.852","12.728","12.591","12.248","9.571","9.876"
"00:00:02.800","12.853","12.728","12.591","12.249","9.571","9.877"
"00:00:02.900","12.855","12.728","12.591","12.250","9.572","9.878"
"00:00:03.000","12.857","12.728","12.591","12.251","9.572","9.879"
"00:00:03.100","12.858","12.728","12.591","12.253","9.573","9.881"
"00:00:03.200","12.857","12.727","12.591","12.249","9.572","9.881"
"00:00:03.300","12.855","12.725","12.592","12.246","9.572","9.881"
"00:00:03.400","12.853","12.723","12.592","12.243","9.571","9.881"
"00:00:03.500","12.852","12.722","12.593","12.240","9.571","9.881"
"00:00:03.600","12.850","12.720","12.593","12.237","9.570","9.881"
"00:00:03.700","12.849","12.719","12.594","12.233","9.570","9.881"
"00:00:03.800","12.847","12.717","12.594","12.230","9.569","9.881"
"00:00:03.900","12.849","12.715","12.594","12.233","9.569","9.882"
"00:00:04.000","12.851","12.714","12.594","12.236","9.569","9.883"
"00:00:04.100","12.853","12.712","12.594","12.238","9.569","9.884"
"00:00:04.200","12.856","12.711","12.594","12.241","9.569","9.885"
"00:00:04.300","12.858","12.709","12.594","12.244","9.569","9.886"
"00:00:04.400","12.860","12.707","12.594","12.246","9.569","9.887"
"00:00:04.500","12.862","12.706","12.594","12.249","9.569","9.888"
"00:00:04.600","12.870","12.709","12.599","12.249","9.570","9.888"
"00:00:04.700","12.878","12.712","12.603","12.249","9.570","9.888"
"00:00:04.800","12.886","12.715","12.607","12.249","9.571","9.888"
"00:00:04.900","12.894","12.719","12.611","12.249","9.571","9.888"
"00:00:05.000","12.902","12.722","12.616","12.249","9.572","9.888"
"00:00:05.100","12.910","12.725","12.620","12.249","9.572","9.888"
"00:00:05.200","12.918","12.728","12.624","12.249","9.573","9.888"
"00:00:05.300","12.921","12.729","12.625","12.251","9.572","9.888"
"00:00:05.400","12.924","12.729","12.625","12.253","9.572","9.889"
"00:00:05.500","12.927","12.730","12.626","12.255","9.571","9.890"
"00:00:05.600","12.930","12.730","12.626","12.257","9.570","9.890"
"00:00:05.700","12.934","12.731","12.627","12.259","9.570","9.891"
"00:00:05.800","12.937","12.731","12.627","12.261","9.569","9.891"
"00:00:05.900","12.940","12.732","12.628","12.264","9.569","9.892"
"00:00:06.000","12.938","12.735","12.629","12.265","9.569","9.890"
"00:00:06.100","12.936","12.738","12.631","12.266","9.570","9.888"
"00:00:06.200","12.933","12.741","12.632","12.267","9.570","9.887"
"00:00:06.300","12.931","12.744","12.634","12.268","9.571","9.885"
"00:00:06.400","12.929","12.748","12.636","12.269","9.571","9.884"
"00:00:06.500","12.927","12.751","12.637","12.270","9.572","9.882"
"00:00:06.600","12.925","12.754","12.639","12.271","9.572","9.880"
"00:00:06.700","12.923","12.756","12.643","12.274","9.572","9.881"
"00:00:06.800","12.921","12.757","12.647","12.276","9.572","9.881"
"00:00:06.900","12.918","12.759","12.651","12.279","9.572","9.882"
"00:00:07.000","12.916","12.760","12.656","12.281","9.572","9.882"
"00:00:07.100","12.914","12.762","12.660","12.284","9.572","9.883"
"00:00:07.200","12.912","12.763","12.664","12.287","9.572","9.883"
"00:00:07.300","12.910","12.765","12.668","12.289","9.572","9.884"
"00:00:07.400","12.907","12.763","12.665","12.286","9.572","9.884"
"00:00:07.500","12.904","12.762","12.662","12.283","9.572","9.884"
"00:00:07.600","12.900","12.760","12.659","12.280","9.572","9.884"
"00:00:07.700","12.897","12.759","12.656","12.277","9.572","9.884"
"00:00:07.800","12.894","12.757","12.653","12.274","9.572","9.884"
"00:00:07.900","12.891","12.756","12.649","12.270","9.572","9.884"
"00:00:08.000","12.888","12.754","12.646","12.267","9.572","9.884"
"00:00:08.100","12.885","12.752","12.642","12.268","9.573","9.885"
"00:00:08.200","12.881","12.751","12.639","12.268","9.574","9.886"
"00:00:08.300","12.878","12.749","12.635","12.269","9.574","9.887"
"00:00:08.400","12.875","12.748","12.631","12.269","9.575","9.888"
"00:00:08.500","12.872","12.746","12.628","12.270","9.575","9.889"
"00:00:08.600","12.869","12.744","12.624","12.270","9.576","9.890"
"00:00:08.700","12.865","12.743","12.620","12.271","9.576","9.892"
"00:00:08.800","12.865","12.741","12.619","12.268","9.575","9.890"
"00:00:08.900","12.865","12.739","12.617","12.264","9.573","9.888"
"00:00:09.000","12.865","12.736","12.615","12.261","9.571","9.887"
"00:00:09.100","12.865","12.734","12.614","12.258","9.570","9.885"
"00:00:09.200","12.865","12.732","12.612","12.255","9.568","9.883"
"00:00:09.300","12.865","12.730","12.611","12.252","9.567","9.882"
"00:00:09.400","12.865","12.728","12.609","12.249","9.565","9.880"
"00:00:09.500","12.866","12.727","12.608","12.247","9.564","9.880"
"00:00:09.600","12.866","12.726","12.607","12.245","9.564","9.880"
"00:00:09.700","12.867","12.725","12.606","12.244","9.563","9.880"
"00:00:09.800","12.867","12.724","12.605","12.242","9.563","9.880"
"00:00:09.900","12.868","12.723","12.604","12.241","9.562","9.880"
"00:00:10.000","12.868","12.721","12.603","12.239","9.562","9.880"
"00:00:10.100","12.869","12.720","12.601","12.237","9.561","9.880"
"00:00:10.200","12.869","12.721","12.601","12.239","9.562","9.881"
"00:00:10.300","12.869","12.722","12.601","12.240","9.562","9.882"
"00:00:10.400","12.869","12.724","12.601","12.242","9.563","9.883"
"00:00:10.500","12.869","12.725","12.601","12.244","9.563","9.884"
"00:00:10.600","12.869","12.726","12.601","12.245","9.564","9.885"
"00:00:10.700","12.869","12.727","12.601","12.247","9.564","9.886"
"00:00:10.800","12.869","12.728","12.601","12.248","9.565","9.888"
"00:00:10.900","12.869","12.726","12.602","12.250","9.565","9.886"
"00:00:11.000","12.869","12.723","12.604","12.252","9.566","9.885"
"00:00:11.100","12.869","12.721","12.605","12.253","9.566","9.884"
"00:00:11.200","12.869","12.719","12.606","12.255","9.567","9.883"
"00:00:11.300","12.869","12.717","12.607","12.256","9.568","9.882"
"00:00:11.400","12.869","12.715","12.608","12.258","9.568","9.881"
"00:00:11.500","12.869","12.713","12.609","12.260","9.569","9.880"
"00:00:11.600","12.870","12.715","12.607","12.258","9.567","9.880"
"00:00:11.700","12.870","12.717","12.606","12.256","9.565","9.879"
"00:00:11.800","12.871","12.719","12.604","12.255","9.564","9.878"
"00:00:11.900","12.871","12.721","12.602","12.253","9.562","9.878"
"00:00:12.000","12.872","12.723","12.601","12.252","9.560","9.877"
"00:00:12.100","12.872","12.726","12.599","12.250","9.559","9.877"
"00:00:12.200","12.873","12.728","12.598","12.248","9.557","9.876"
"00:00:12.300","12.873","12.730","12.601","12.247","9.557","9.877"
"00:00:12.400","12.874","12.732","12.605","12.245","9.556","9.878"
"00:00:12.500","12.874","12.734","12.609","12.244","9.556","9.879"
"00:00:12.600","12.875","12.736","12.612","12.242","9.555","9.881"
"00:00:12.700","12.875","12.738","12.616","12.240","9.555","9.882"
"00:00:12.800","12.876","12.740","12.620","12.239","9.554","9.883"
"00:00:12.900","12.876","12.743","12.624","12.237","9.553","9.884"
"00:00:13.000","12.878","12.743","12.624","12.238","9.554","9.883"
"00:00:13.100","12.880","12.744","12.625","12.239","9.555","9.883"
"00:00:13.200","12.881","12.744","12.625","12.240","9.555","9.882"
"00:00:13.300","12.883","12.745","12.626","12.241","9.556","9.882"
"00:00:13.400","12.884","12.745","12.626","12.242","9.556","9.881"
"00:00:13.500","12.886","12.746","12.627","12.244","9.557","9.881"
"00:00:13.600","12.887","12.746","12.627","12.245","9.557","9.880"
"00:00:13.700","12.887","12.747","12.628","12.245","9.559","9.881"
"00:00:13.800","12.886","12.747","12.629","12.245","9.561","9.881"
"00:00:13.900","12.886","12.748","12.630","12.245","9.564","9.882"
"00:00:14.000","12.885","12.748","12.632","12.245","9.566","9.882"
"00:00:14.100","12.885","12.749","12.633","12.245","9.568","9.883"
"00:00:14.200","12.884","12.749","12.634","12.244","9.570","9.883"
"00:00:14.300","12.884","12.750","12.635","12.244","9.572","9.884"
