"Time","TC_00 Ave. (C)","TC_01 Ave. (C)","TC_02 Ave. (C)","TC_03 Ave. (C)"
"00:00:00.000","11.789","11.726","11.577","11.328"
"00:00:00.100","11.789","11.726","11.576","11.327"
"00:00:00.200","11.790","11.727","11.576","11.326"
"00:00:00.300","11.790","11.727","11.575","11.325"
"00:00:00.400","11.791","11.728","11.575","11.324"
"00:00:00.500","11.791","11.728","11.574","11.323"
"00:00:00.600","11.792","11.729","11.574","11.321"
"00:00:00.700","11.792","11.729","11.573","11.320"
"00:00:00.800","11.793","11.729","11.573","11.319"
"00:00:00.900","11.793","11.728","11.572","11.318"
"00:00:01.000","11.794","11.728","11.571","11.317"
"00:00:01.100","11.794","11.727","11.571","11.316"
"00:00:01.200","11.795","11.726","11.570","11.315"
"00:00:01.300","11.795","11.726","11.570","11.314"
"00:00:01.400","11.796","11.725","11.569","11.313"
"00:00:01.500","11.795","11.724","11.569","11.314"
"00:00:01.600","11.795","11.723","11.568","11.315"
"00:00:01.700","11.794","11.722","11.568","11.316"
"00:00:01.800","11.794","11.721","11.567","11.317"
"00:00:01.900","11.793","11.720","11.567","11.318"
"00:00:02.000","11.793","11.719","11.566","11.319"
"00:00:02.100","11.792","11.718","11.566","11.320"
"00:00:02.200","11.791","11.719","11.566","11.320"
"00:00:02.300","11.790","11.721","11.567","11.320"
"00:00:02.400","11.789","11.723","11.567","11.320"
"00:00:02.500","11.788","11.724","11.568","11.320"
"00:00:02.600","11.787","11.726","11.568","11.320"
"00:00:02.700","11.786","11.727","11.569","11.320"
"00:00:02.800","11.785","11.729","11.569","11.320"
"00:00:02.900","11.787","11.729","11.569","11.320"
"00:00:03.000","11.789","11.729","11.569","11.319"
"00:00:03.100","11.791","11.729","11.569","11.319"
"00:00:03.200","11.793","11.729","11.569","11.318"
"00:00:03.300","11.795","11.729","11.569","11.318"
"00:00:03.400","11.798","11.729","11.569","11.317"
"00:00:03.500","11.800","11.729","11.569","11.317"
"00:00:03.600","11.799","11.730","11.570","11.317"
"00:00:03.700","11.798","11.730","11.571","11.318"
"00:00:03.800","11.796","11.731","11.572","11.318"
"00:00:03.900","11.795","11.731","11.573","11.319"
