"Time","TC_00 Ave. (C)","TC_01 Ave. (C)","TC_02 Ave. (C)","TC_03 Ave. (C)","Cold_water Ave. (C)","Hot_water Ave. (C)"
"00:00:00.000","12.234","12.155","11.995","11.675","9.547","9.914"
"00:00:00.100","12.233","12.155","11.995","11.676","9.546","9.914"
"00:00:00.200","12.233","12.155","11.997","11.676","9.546","9.913"
"00:00:00.300","12.232","12.155","11.998","11.676","9.547","9.913"
"00:00:00.400","12.232","12.155","11.999","11.676","9.547","9.912"
"00:00:00.500","12.231","12.155","12.000","11.676","9.548","9.911"
"00:00:00.600","12.231","12.155","12.001","11.676","9.548","9.911"
"00:00:00.700","12.230","12.155","12.002","11.676","9.549","9.910"
"00:00:00.800","12.229","12.155","12.003","11.676","9.549","9.910"
"00:00:00.900","12.229","12.155","12.004","11.676","9.550","9.909"
"00:00:01.000","12.228","12.154","12.005","11.677","9.551","9.909"
"00:00:01.100","12.228","12.153","12.006","11.677","9.553","9.908"
"00:00:01.200","12.227","12.153","12.007","11.678","9.554","9.907"
"00:00:01.300","12.227","12.152","12.008","11.678","9.555","9.907"
"00:00:01.400","12.226","12.152","12.009","11.679","9.556","9.906"
"00:00:01.500","12.225","12.151","12.010","11.679","9.557","9.906"
"00:00:01.600","12.229","12.152","12.009","11.679","9.557","9.907"
"00:00:01.700","12.232","12.153","12.009","11.679","9.557","9.908"
"00:00:01.800","12.235","12.154","12.008","11.679","9.557","9.909"
"00:00:01.900","12.238","12.155","12.008","11.679","9.557","9.910"
"00:00:02.000","12.241","12.156","12.007","11.679","9.557","9.911"
"00:00:02.100","12.244","12.157","12.007","11.679","9.557","9.912"
"00:00:02.200","12.248","12.158","12.006","11.679","9.557","9.913"
"00:00:02.300","12.247","12.160","12.005","11.679","9.555","9.913"
"00:00:02.400","12.246","12.161","12.004","11.679","9.553","9.912"
"00:00:02.500","12.244","12.162","12.003","11.679","9.552","9.912"
"00:00:02.600","12.243","12.163","12.002","11.679","9.550","9.911"
"00:00:02.700","12.242","12.164","12.001","11.679","9.549","9.910"
"00:00:02.800","12.241","12.165","12.000","11.679","9.547","9.910"
"00:00:02.900","12.240","12.166","11.999","11.679","9.545","9.909"
"00:00:03.000","12.240","12.166","11.999","11.678","9.546","9.909"
"00:00:03.100","12.239","12.166","11.999","11.677","9.547","9.908"
"00:00:03.200","12.239","12.166","11.999","11.676","9.548","9.908"
"00:00:03.300","12.238","12.166","11.999","11.675","9.549","9.907"
"00:00:03.400","12.237","12.166","11.998","11.674","9.550","9.907"
"00:00:03.500","12.237","12.166","11.998","11.673","9.552","9.906"
"00:00:03.600","12.236","12.166","11.998","11.671","9.553","9.905"
"00:00:03.700","12.237","12.165","11.998","11.669","9.551","9.904"
"00:00:03.800","12.238","12.165","11.998","11.667","9.549","9.903"
"00:00:03.900","12.239","12.164","11.998","11.665","9.548","9.902"
"00:00:04.000","12.240","12.163","11.998","11.663","9.546","9.901"
"00:00:04.100","12.241","12.163","11.998","11.661","9.544","9.900"
"00:00:04.200","12.242","12.162","11.998","11.659","9.543","9.899"
"00:00:04.300","12.244","12.162","11.998","11.656","9.541","9.898"
"00:00:04.400","12.242","12.161","11.998","11.658","9.543","9.899"
"00:00:04.500","12.240","12.161","11.997","11.660","9.545","9.901"
"00:00:04.600","12.239","12.160","11.997","11.661","9.548","9.902"
"00:00:04.700","12.237","12.160","11.996","11.663","9.550","9.904"
"00:00:04.800","12.235","12.159","11.996","11.664","9.552","9.906"
"00:00:04.900","12.234","12.159","11.995","11.666","9.554","9.907"
"00:00:05.000","12.232","12.158","11.994","11.667","9.556","9.909"
"00:00:05.100","12.232","12.157","11.995","11.666","9.555","9.909"
"00:00:05.200","12.231","12.157","11.995","11.665","9.555","9.910"
"00:00:05.300","12.231","12.156","11.996","11.664","9.554","9.910"
"00:00:05.400","12.230","12.156","11.997","11.663","9.554","9.911"
"00:00:05.500","12.230","12.155","11.997","11.662","9.553","9.911"
"00:00:05.600","12.229","12.155","11.998","11.661","9.553","9.912"
"00:00:05.700","12.228","12.154","11.998","11.660","9.552","9.913"
"00:00:05.800","12.229","12.154","11.998","11.661","9.552","9.913"
"00:00:05.900","12.229","12.154","11.998","11.662","9.551","9.913"
"00:00:06.000","12.230","12.154","11.998","11.663","9.550","9.914"
"00:00:06.100","12.230","12.154","11.998","11.664","9.550","9.914"
"00:00:06.200","12.231","12.154","11.998","11.665","9.549","9.915"
"00:00:06.300","12.231","12.154","11.998","11.666","9.549","9.915"
"00:00:06.400","12.232","12.154","11.998","11.667","9.548","9.916"
"00:00:06.500","12.232","12.154","11.996","11.665","9.549","9.915"
