"Time","TC_00 Ave. (C)","TC_01 Ave. (C)","TC_02 Ave. (C)","TC_03 Ave. (C)"
"00:00:00.000","17.385","17.349","17.231","16.850"
"00:00:00.100","17.382","17.349","17.233","16.851"
"00:00:00.200","17.379","17.349","17.234","16.851"
"00:00:00.300","17.380","17.349","17.234","16.850"
"00:00:00.400","17.381","17.348","17.234","16.848"
"00:00:00.500","17.381","17.347","17.234","16.847"
"00:00:00.600","17.382","17.346","17.234","16.845"
"00:00:00.700","17.383","17.346","17.234","16.844"
"00:00:00.800","17.381","17.346","17.233","16.841"
"00:00:00.900","17.380","17.347","17.231","16.838"
"00:00:01.000","17.378","17.348","17.230","16.835"
"00:00:01.100","17.377","17.348","17.228","16.832"
"00:00:01.200","17.375","17.349","17.227","16.829"
"00:00:01.300","17.377","17.350","17.228","16.832"
"00:00:01.400","17.378","17.351","17.230","16.835"
"00:00:01.500","17.380","17.351","17.231","16.838"
"00:00:01.600","17.381","17.352","17.233","16.841"
"00:00:01.700","17.383","17.353","17.234","16.844"
"00:00:01.800","17.383","17.351","17.236","16.845"
"00:00:01.900","17.384","17.350","17.238","16.845"
"00:00:02.000","17.385","17.348","17.241","16.846"
"00:00:02.100","17.385","17.347","17.243","16.847"
"00:00:02.200","17.386","17.345","17.245","16.847"
"00:00:02.300","17.387","17.348","17.246","16.847"
"00:00:02.400","17.388","17.351","17.246","16.846"
"00:00:02.500","17.388","17.354","17.247","16.845"
"00:00:02.600","17.389","17.357","17.248","16.844"
"00:00:02.700","17.390","17.360","17.249","16.844"
"00:00:02.800","17.392","17.362","17.249","16.846"
"00:00:02.900","17.394","17.363","17.249","16.848"
"00:00:03.000","17.396","17.365","17.249","16.850"
"00:00:03.100","17.399","17.366","17.249","16.852"
"00:00:03.200","17.401","17.368","17.249","16.855"
"00:00:03.300","17.401","17.366","17.249","16.853"
"00:00:03.400","17.401","17.364","17.250","16.852"
"00:00:03.500","17.401","17.363","17.251","16.850"
"00:00:03.600","17.401","17.361","17.251","16.849"
"00:00:03.700","17.401","17.360","17.252","16.847"
"00:00:03.800","17.400","17.359","17.252","16.848"
"00:00:03.900","17.399","17.358","17.252","16.849"
"00:00:04.000","17.399","17.358","17.252","16.849"
"00:00:04.100","17.398","17.357","17.252","16.850"
"00:00:04.200","17.397","17.356","17.252","16.851"
"00:00:04.300","17.398","17.358","17.251","16.850"
"00:00:04.400","17.398","17.359","17.251","16.849"
"00:00:04.500","17.399","17.361","17.250","16.849"
"00:00:04.600","17.400","17.362","17.249","16.848"
"00:00:04.700","17.401","17.364","17.248","16.847"
"00:00:04.800","17.401","17.365","17.248","16.848"
"00:00:04.900","17.401","17.366","17.247","16.848"
"00:00:05.000","17.401","17.368","17.246","16.849"
"00:00:05.100","17.401","17.369","17.245","16.850"
"00:00:05.200","17.401","17.371","17.245","16.851"
"00:00:05.300","17.401","17.371","17.243","16.851"
"00:00:05.400","17.402","17.371","17.242","16.851"
