"Time","TC_00 Ave. (C)","TC_01 Ave. (C)","TC_02 Ave. (C)","TC_03 Ave. (C)","Cold_water Ave. (C)","Hot_water Ave. (C)"
"00:00:00.000","12.748","12.666","12.606","12.405","9.106","9.388"
"00:00:00.100","12.747","12.665","12.604","12.402","9.106","9.389"
"00:00:00.200","12.746","12.664","12.602","12.399","9.106","9.389"
"00:00:00.300","12.745","12.663","12.600","12.397","9.106","9.390"
"00:00:00.400","12.744","12.662","12.598","12.394","9.106","9.390"
"00:00:00.500","12.743","12.661","12.595","12.392","9.106","9.391"
"00:00:00.600","12.742","12.660","12.593","12.389","9.106","9.391"
"00:00:00.700","12.741","12.661","12.595","12.392","9.106","9.391"
"00:00:00.800","12.741","12.661","12.598","12.394","9.105","9.390"
"00:00:00.900","12.740","12.662","12.600","12.397","9.105","9.390"
"00:00:01.000","12.740","12.662","12.602","12.400","9.104","9.389"
"00:00:01.100","12.739","12.663","12.604","12.402","9.104","9.389"
"00:00:01.200","12.739","12.663","12.606","12.405","9.103","9.388"
"00:00:01.300","12.738","12.664","12.608","12.408","9.102","9.388"
"00:00:01.400","12.737","12.664","12.609","12.406","9.102","9.389"
"00:00:01.500","12.735","12.664","12.609","12.405","9.101","9.390"
"00:00:01.600","12.734","12.664","12.610","12.404","9.101","9.391"
"00:00:01.700","12.732","12.664","12.610","12.403","9.100","9.392"
"00:00:01.800","12.730","12.664","12.611","12.402","9.100","9.393"
"00:00:01.900","12.729","12.664","12.612","12.401","9.100","9.394"
"00:00:02.000","12.727","12.664","12.612","12.400","9.099","9.396"
"00:00:02.100","12.728","12.667","12.612","12.399","9.099","9.394"
"00:00:02.200","12.730","12.670","12.611","12.397","9.099","9.393"
"00:00:02.300","12.731","12.672","12.611","12.396","9.099","9.392"
"00:00:02.400","12.732","12.675","12.610","12.394","9.099","9.391"
"00:00:02.500","12.733","12.678","12.610","12.393","9.099","9.390"
"00:00:02.600","12.734","12.680","12.609","12.391","9.099","9.389"
"00:00:02.700","12.735","12.683","12.609","12.389","9.099","9.388"
"00:00:02.800","12.734","12.682","12.607","12.390","9.100","9.389"
