File Name:	PMMA_DE_10mm_60Kmin_4mg_R1.txt	Version: 8.3.7.3						
Date:	07 Aug 2024
Operator:	KH
Test ID:	PMMA_DE_10mm_4mg_60K_R1
Sample ID:	PMMA_DE_10mm_4mg
Sample Mass (mg):	4.0100
Sample Cup Mass (mg):	182.3200
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.785
Baseline O2:	20.457
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.925	80.010	19.978	99.785	20.429	-10.772	-0.046	899.230
0.500	74.951	80.011	19.978	99.800	20.404	-8.914	-0.014	899.272
1.000	74.932	80.012	19.978	99.809	20.379	-7.109	0.007	899.263
1.500	74.944	80.010	19.979	99.834	20.357	-5.418	-0.006	899.277
2.000	74.930	80.014	19.979	99.909	20.337	-4.021	-0.002	899.260
2.499	74.932	80.012	19.978	100.040	20.328	-3.374	-0.013	899.298
2.999	74.957	80.010	19.979	100.192	20.322	-2.874	0.027	899.286
3.499	75.005	80.012	19.979	100.352	20.311	-2.034	0.073	899.282
3.999	75.050	80.012	19.979	100.496	20.304	-1.495	0.092	899.271
4.499	75.097	80.011	19.980	100.589	20.297	-1.088	0.092	899.300
4.999	75.123	80.009	19.980	100.624	20.294	-1.285	0.073	899.284
5.500	75.209	80.006	19.979	100.631	20.294	-2.341	0.112	899.295
6.000	75.270	80.009	19.978	100.632	20.290	-3.678	0.147	899.292
6.500	75.337	80.011	19.978	100.631	20.293	-6.065	0.128	899.306
7.000	75.439	80.009	19.978	100.636	20.291	-8.280	0.169	899.310
7.500	75.502	80.010	19.980	100.642	20.288	-10.439	0.166	899.287
8.000	75.638	80.010	19.979	100.650	20.287	-12.246	0.199	899.299
8.501	75.751	80.006	19.979	100.660	20.283	-13.083	0.249	899.279
9.000	75.838	80.009	19.978	100.664	20.285	-13.749	0.201	899.289
9.499	75.955	80.009	19.977	100.666	20.285	-13.472	0.204	899.295
9.999	76.083	80.010	19.978	100.670	20.283	-12.789	0.244	899.287
10.500	76.191	80.009	19.979	100.670	20.267	-10.920	0.236	899.303
11.000	76.344	80.009	19.978	100.666	20.246	-8.668	0.261	899.293
11.499	76.464	80.011	19.978	100.672	20.214	-5.518	0.273	899.285
12.000	76.632	80.008	19.977	100.680	20.185	-2.685	0.288	899.288
