File Name:	PMMA_DE_10mm_60Kmin_4mg_R2.txt	Version: 8.3.7.3
Date:	14 Aug 2024
Operator:	KH
Test ID:	PMMA_DE_10mm_4mg_60K__R2
Sample ID:	PMMA_DE_10mm_4mg
Sample Mass (mg):	4.0200
Sample Cup Mass (mg):	182.3400
End Total Mass (mg):	0.0000
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.179
Baseline O2:	20.302
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.921	80.101	19.977	100.179	20.286	-7.770	-0.017	899.128
0.500	74.958	80.100	19.976	100.179	20.267	-6.591	-0.010	899.161
1.000	74.960	80.098	19.977	100.175	20.248	-5.280	0.039	899.144
1.500	75.007	80.100	19.976	100.186	20.228	-3.858	0.049	899.154
2.000	75.031	80.100	19.977	100.236	20.212	-2.670	0.070	899.157
2.500	75.098	80.100	19.977	100.315	20.202	-1.912	0.091	899.154
3.000	75.089	80.101	19.976	100.417	20.195	-1.378	0.058	899.130
3.500	75.153	80.099	19.977	100.530	20.186	-0.552	0.054	899.154
4.001	75.196	80.102	19.977	100.631	20.182	-0.290	0.107	899.148
4.500	75.266	80.104	19.976	100.696	20.181	-0.324	0.113	899.154
5.000	75.335	80.101	19.976	100.730	20.178	-0.562	0.139	899.121
5.500	75.412	80.100	19.976	100.753	20.178	-1.608	0.146	899.148
6.000	75.517	80.098	19.976	100.769	20.175	-2.699	0.182	899.143
6.500	75.611	80.098	19.977	100.783	20.175	-4.254	0.199	899.142
7.000	75.710	80.101	19.976	100.799	20.174	-5.818	0.193	899.118
7.500	75.801	80.100	19.976	100.814	20.176	-7.706	0.190	899.096
8.000	75.929	80.100	19.976	100.829	20.173	-8.813	0.219	899.074
8.500	76.043	80.101	19.976	100.840	20.176	-9.825	0.242	899.104
9.000	76.204	80.099	19.976	100.846	20.175	-10.134	0.276	899.095
9.500	76.315	80.101	19.977	100.848	20.177	-10.439	0.272	899.084
10.000	76.471	80.100	19.976	100.850	20.169	-9.737	0.267	899.139
10.500	76.637	80.099	19.976	100.843	20.160	-8.732	0.322	899.113
11.000	76.763	80.099	19.975	100.838	20.138	-6.649	0.291	899.092
11.501	76.939	80.099	19.977	100.841	20.111	-4.122	0.302	899.095
12.000	77.100	80.098	19.977	100.852	20.077	-1.075	0.337	899.092
12.500	77.257	80.100	19.976	100.891	20.053	1.327	0.318	899.062
13.000	77.477	80.097	19.975	100.977	20.032	3.331	0.377	899.074
13.500	77.705	80.098	19.975	101.088	20.022	4.628	0.448	899.095
14.000	77.951	80.099	19.974	101.210	20.017	5.453	0.475	899.096
14.500	78.185	80.098	19.975	101.340	20.017	5.916	0.480	899.062
15.000	78.488	80.099	19.976	101.453	20.020	6.141	0.537	899.095
15.500	78.769	80.098	19.976	101.518	20.024	6.290	0.584	899.083
16.000	79.090	80.097	19.976	101.558	20.026	6.577	0.602	899.085
16.500	79.395	80.094	19.975	101.574	20.034	6.371	0.626	899.087
17.000	79.701	80.096	19.976	101.572	20.042	6.167	0.611	899.072
17.500	80.092	80.097	19.976	101.554	20.048	6.017	0.698	899.049
18.000	80.432	80.097	19.975	101.531	20.058	5.615	0.731	899.053
18.500	80.800	80.097	19.976	101.503	20.064	5.449	0.708	899.066
19.000	81.191	80.099	19.977	101.476	20.076	4.799	0.759	899.087
19.500	81.557	80.100	19.977	101.442	20.074	5.094	0.757	899.077
20.000	81.973	80.098	19.977	101.408	20.080	4.888	0.782	899.074
20.500	82.354	80.099	19.977	101.379	20.087	4.594	0.796	899.025
21.000	82.792	80.102	19.976	101.345	20.095	4.212	0.819	899.036
21.500	83.227	80.099	19.976	101.312	20.101	3.885	0.874	899.037
22.000	83.663	80.097	19.976	101.282	20.108	3.586	0.871	899.050
22.500	84.074	80.098	19.976	101.250	20.112	3.497	0.846	899.040
23.000	84.530	80.098	19.977	101.217	20.119	3.048	0.868	899.041
23.500	84.971	80.099	19.976	101.192	20.121	3.051	0.897	899.032
24.000	85.402	80.098	19.976	101.162	20.123	3.018	0.871	899.043
24.500	85.861	80.098	19.976	101.134	20.125	2.965	0.890	899.035
25.000	86.334	80.099	19.976	101.111	20.132	2.521	0.932	899.022
25.500	86.819	80.099	19.976	101.088	20.133	2.510	0.957	899.045
26.000	87.305	80.102	19.977	101.064	20.140	2.091	0.970	898.983
26.500	87.779	80.102	19.977	101.049	20.143	1.938	0.961	899.006
27.000	88.284	80.101	19.976	101.039	20.149	1.563	0.979	899.022
27.500	88.776	80.099	19.976	101.022	20.154	1.252	0.996	899.021
28.000	89.216	80.098	19.976	101.006	20.160	0.910	0.932	899.023
28.500	89.746	80.099	19.977	100.992	20.162	0.924	0.971	898.979
29.000	90.241	80.099	19.977	100.979	20.161	1.055	1.025	899.008
29.500	90.743	80.098	19.977	100.960	20.162	1.138	0.996	899.018
