File Name:	PS_18.txt	Version: 8.3.7.3						
Date:	14 Aug 2024
Operator:	KH
Test ID:	PS_18
Sample ID:	PS_18
Sample Mass (mg):	3.2100
Sample Cup Mass (mg):	184.4800
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.136
Baseline O2:	20.233
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.835	80.099	19.978	100.136	20.180	-8.742	-0.015	899.628
0.500	74.807	80.099	19.978	100.147	20.157	-6.380	-0.027	899.630
1.000	74.817	80.101	19.977	100.147	20.137	-4.408	-0.018	899.623
1.500	74.801	80.099	19.977	100.161	20.117	-2.338	-0.006	899.622
2.001	74.840	80.097	19.978	100.212	20.102	-0.788	0.023	899.584
2.500	74.868	80.097	19.977	100.287	20.090	0.335	0.067	899.621
3.001	74.870	80.099	19.978	100.382	20.082	1.147	0.029	899.590
3.501	74.932	80.099	19.980	100.500	20.075	1.869	0.065	899.613
4.001	74.974	80.099	19.979	100.614	20.074	1.951	0.104	899.593
4.500	75.027	80.099	19.979	100.704	20.069	2.277	0.095	899.639
5.001	75.074	80.100	19.978	100.762	20.068	1.815	0.100	899.595
5.501	75.137	80.101	19.979	100.799	20.065	0.739	0.110	899.640
6.000	75.227	80.099	19.979	100.813	20.064	-1.079	0.153	899.629
6.501	75.313	80.100	19.978	100.816	20.065	-3.390	0.175	899.623
7.001	75.391	80.099	19.978	100.809	20.062	-5.603	0.165	899.610
7.501	75.492	80.099	19.978	100.803	20.064	-8.402	0.179	899.646
8.000	75.590	80.101	19.978	100.799	20.064	-10.600	0.199	899.600
8.501	75.682	80.101	19.978	100.795	20.064	-11.801	0.189	899.605
9.001	75.822	80.102	19.979	100.787	20.061	-12.302	0.231	899.609
9.502	75.945	80.101	19.978	100.785	20.059	-12.178	0.263	899.633
10.001	76.046	80.101	19.978	100.788	20.058	-11.821	0.224	899.619
10.500	76.170	80.102	19.977	100.785	20.047	-10.325	0.225	899.610
11.001	76.326	80.101	19.978	100.785	20.023	-7.337	0.281	899.629
11.501	76.468	80.102	19.978	100.789	19.994	-4.001	0.298	899.597
12.001	76.641	80.104	19.977	100.795	19.966	-0.488	0.315	899.624
12.501	76.804	80.103	19.977	100.831	19.940	2.613	0.336	899.584
13.001	76.979	80.102	19.978	100.924	19.920	5.063	0.337	899.602
13.501	77.240	80.101	19.978	101.046	19.906	7.075	0.436	899.604
14.001	77.436	80.102	19.978	101.197	19.900	8.224	0.457	899.639
14.500	77.741	80.103	19.979	101.360	19.903	8.597	0.501	899.638
15.001	77.971	80.100	19.978	101.498	19.904	9.101	0.535	899.621
15.501	78.233	80.100	19.977	101.587	19.907	9.480	0.492	899.629
16.001	78.549	80.103	19.977	101.637	19.914	9.469	0.578	899.605
16.500	78.881	80.100	19.977	101.658	19.918	9.724	0.648	899.627
17.001	79.214	80.101	19.977	101.651	19.923	9.833	0.665	899.610
17.501	79.532	80.103	19.977	101.625	19.933	9.432	0.651	899.619
18.001	79.905	80.101	19.976	101.592	19.940	9.407	0.691	899.610
18.502	80.216	80.103	19.977	101.559	19.947	9.234	0.685	899.594
19.001	80.640	80.100	19.977	101.521	19.952	9.152	0.735	899.596
19.501	81.006	80.101	19.977	101.487	19.959	8.952	0.789	899.621
20.001	81.399	80.101	19.978	101.453	19.970	8.319	0.760	899.590
20.500	81.794	80.099	19.978	101.424	19.972	8.451	0.788	899.607
21.001	82.220	80.101	19.978	101.390	19.979	8.030	0.820	899.610
