File Name:	PMMA_DE_10mm_60Kmin_4mg_R3.txt	Version: 8.3.7.3
Date:	05 Sep 2024
Operator:	KH
Test ID:	PMMA_DE_10mm_4mg_60K_R3
Sample ID:	PMMA_DE_10mm_4mg
Sample Mass (mg):	4.0700
Sample Cup Mass (mg):	182.2100
End Total Mass (mg):	0.0000
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.250
Baseline O2:	20.251
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.215	80.015	19.977	100.250	20.244	-12.134	-0.019	899.418
0.500	75.223	80.013	19.976	100.250	20.224	-10.452	-0.027	899.425
1.000	75.244	80.016	19.977	100.250	20.204	-8.833	0.029	899.393
1.499	75.272	80.015	19.977	100.260	20.176	-6.534	0.049	899.427
1.999	75.290	80.014	19.976	100.305	20.153	-4.670	0.046	899.417
2.499	75.305	80.016	19.976	100.392	20.142	-3.785	0.033	899.380
2.999	75.274	80.014	19.977	100.504	20.128	-2.626	-0.016	899.399
3.499	75.363	80.016	19.977	100.638	20.119	-1.959	0.058	899.418
4.000	75.415	80.015	19.976	100.779	20.114	-1.547	0.141	899.403
4.500	75.479	80.013	19.975	100.902	20.107	-1.062	0.115	899.399
4.999	75.531	80.016	19.974	100.998	20.106	-1.374	0.116	899.399
5.499	75.591	80.017	19.976	101.073	20.102	-2.062	0.112	899.381
6.000	75.681	80.015	19.976	101.125	20.100	-3.425	0.150	899.387
6.500	75.762	80.015	19.976	101.153	20.098	-5.231	0.171	899.413
6.999	75.859	80.014	19.977	101.159	20.097	-7.171	0.178	899.407
7.500	75.950	80.011	19.976	101.150	20.098	-9.330	0.188	899.382
8.000	76.073	80.014	19.977	101.139	20.095	-10.934	0.214	899.395
8.499	76.156	80.014	19.976	101.128	20.094	-12.090	0.206	899.404
9.000	76.265	80.014	19.976	101.119	20.096	-12.938	0.192	899.369
9.500	76.382	80.014	19.976	101.115	20.094	-12.940	0.226	899.384
9.999	76.511	80.013	19.976	101.116	20.092	-12.663	0.247	899.400
10.499	76.688	80.015	19.976	101.114	20.076	-11.168	0.306	899.374
10.999	76.822	80.014	19.977	101.111	20.054	-8.869	0.310	899.359
11.500	76.965	80.013	19.976	101.108	20.022	-5.830	0.277	899.350
12.000	77.134	80.015	19.976	101.113	19.992	-2.840	0.312	899.350
12.500	77.329	80.013	19.976	101.147	19.966	-0.057	0.364	899.354
13.000	77.510	80.014	19.975	101.232	19.949	1.902	0.376	899.390
