General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,95200;118,62500;0,011000;0,048;99,93;24,0000;0,000;0,00;101,130;0,009;263,196;334,350;338,55;1134,617;;;841,300;896,100;847,000;304,250;;;;;0,00;0,00;0,00;3,00;1,35;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00000;0,00000;0,0;25,553168;0,000000;24,190583;24,494458;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0000000;20,95500;0,04800;0,03400;-0,0001393;;;;;;
Standard used;ISO 5660-1;1;20,95400;117,02500;0,003000;0,048;99,90;24,0000;0,000;0,00;101,130;0,009;263,196;334,350;338,55;1134,650;;;841,400;896,100;847,000;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,10195;0,00000;0,0;25,380253;0,000140;24,026889;24,328708;0,0000;0,0034;;;0,00;0,00;-0,03;;;;0,0000000;20,95600;0,04900;0,03300;-0,0000984;;;;;;
Date of test;27,03,2025;2;20,95300;118,97500;0,005000;0,048;99,91;24,0000;0,000;0,00;101,130;0,009;263,196;334,350;338,55;1134,750;;;841,600;896,100;847,100;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,03427;0,00000;0,0;25,590837;0,000028;24,226244;24,530566;0,0000;0,0007;;;0,00;0,00;0,00;;;;0,0000000;20,95600;0,05000;0,00400;-0,0000633;;;;;;
Time of test;13:11;3;20,95400;114,20000;0,000000;0,048;99,91;24,0000;0,000;0,00;101,130;0,009;263,196;334,350;338,65;1134,783;;;841,600;896,100;847,200;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,11960;0,00000;0,0;25,072041;-0,000001;23,735112;24,040364;0,0000;0,0000;;;0,00;0,00;-0,02;;;;0,0000000;20,95600;0,04900;0,01900;-0,0000453;;;;;;
Heat flux (kW/m²);75;4;20,95200;118,39999;-0,004000;0,048;99,94;24,0000;0,000;0,00;101,130;0,009;263,196;334,350;338,65;1134,883;;;841,800;896,200;847,200;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,84998999;;;;nan;-0,17947;0,00000;0,00084998;25,528922;-0,000190;24,167630;24,478445;0,0000;-0,0046;;;0,00;0,00;0,03;;;;0,0084999;20,95500;0,04900;-0,00100;0,0001110;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,95400;120,25000;-0,013000;0,049;99,94;24,0000;0,000;0,00;101,130;0,009;263,196;334,450;338,65;1135,117;;;842,400;896,200;847,300;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,80599;;;;nan;-0,34445;0,03733;0,00165598;25,723748;-0,000154;24,359351;24,665254;0,0000;-0,0038;;;0,00;0,00;-0,03;;;;0,0080599;20,95300;0,04900;-0,00400;0,0001037;;;;;;
Sampling interval (s);1;6;20,95400;116,62500;-0,004000;0,049;99,94;24,0000;0,000;0,00;101,126;0,009;263,196;334,550;338,75;1134,983;;;842,000;896,200;847,300;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,09448;0,03151;0,00165598;25,329266;-0,000173;23,992965;24,294176;0,0000;-0,0042;;;0,00;0,00;-0,02;;;;0,0000000;20,95300;0,04900;-0,01100;-0,0000015;;;;;;
Separation (mm);25;7;20,95400;112,12500;0,000000;0,049;99,94;24,0000;0,000;0,00;101,130;0,009;263,196;334,550;338,75;1134,817;;;841,400;896,200;847,400;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00624;0,02703;0,00165598;24,835791;-0,000118;23,525524;23,820867;0,0000;-0,0028;;;0,00;0,00;-0,02;;;;0,0000000;20,95400;0,04900;0,01200;-0,0000457;;;;;;
Orientation;Hor;8;20,95400;114,60000;0,013000;0,049;99,94;24,0000;0,000;0,00;101,130;0,009;263,196;334,650;338,85;1134,783;;;841,300;896,200;847,400;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,29695;0,02429;0,00165598;25,104650;-0,000116;23,787307;24,085848;0,0000;-0,0028;;;0,00;0,00;-0,02;;;;0,0000000;20,95500;0,04900;0,01200;-0,0002052;;;;;;
Edge frame?;N;9;20,95400;115,15000;0,012000;0,049;99,93;24,0000;0,000;0,00;101,132;0,009;263,196;334,650;338,95;1134,717;;;841,000;896,200;847,500;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,24515;0,02191;0,00165598;25,164822;-0,000024;23,844321;24,150702;0,0000;-0,0006;;;0,00;0,00;-0,02;;;;0,0000000;20,95500;0,04900;0,02500;-0,0001885;;;;;;
