General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,94200;0,05800;-0,006000;113,275;99,97;0,0000;0,000;100,808;28,400;0,000;345,150;349,050;28,10;1143,017;263,190;0,000;861,500;883,900;864,200;328,550;;;;;0,00;0,00;0,00;3,00;3,86;15,345;27,389;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,5048;;;0,00000000;0,00000000;0,00072;Infinity;0,0015;25,034823;0,000091;24,465420;24,741865;0,0000;0,0020;0,00;0,00;0,00;0,00;0,07;;;;0,0150766;20,95300;0,04600;-0,00700;0,0002010;;70,42;0,00;;;
Standard used;ISO 5660-1;1;20,93900;0,05900;-0,024000;109,000;99,96;0,0000;0,000;100,804;28,400;0,000;345,150;349,050;28,10;1142,683;263,190;0,000;860,800;883,700;864,100;328,550;;;;;0,00;0,00;0,00;3,00;3,86;15,381;27,375;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,6115;;;-0,00166639;-0,00166639;0,00396;-0,35334;0,0021;24,557872;0,000215;23,999317;24,270496;0,0000;0,0046;0,00;0,01;0,00;0,00;0,09;;0,306;0,611;0,0061264;20,95200;0,04500;0,00800;0,0000842;;70,42;1,00;;;
Date of test;24.07.2026;2;20,93600;0,05800;0,007000;113,150;99,98;0,0000;0,000;100,804;28,400;0,000;345,150;348,950;28,10;1139,850;263,196;0,000;852,500;883,600;864,000;328,550;;;;;0,00;0,00;0,00;3,00;3,86;15,381;27,392;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,05583127;0,05583127;0,00536;0,00389;0,0021;25,021007;0,000005;24,451918;24,721127;0,0000;0,0001;0,00;0,01;0,01;0,00;0,04;;0,306;0,611;0,0000000;20,95400;0,04400;0,01400;-0,0000999;;70,42;2,00;;;
Time of test;15:22;3;20,93700;0,05600;0,004000;111,475;99,97;-0,0200;0,000;100,804;28,400;0,000;345,150;349,050;28,20;1137,550;263,190;0,000;846,000;883,400;863,800;328,550;;;;;0,00;0,00;0,00;3,00;3,86;15,353;27,386;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,34416771;-0,34416771;0,00378;-0,00063;0,0021;24,835118;0,000163;24,270257;24,544497;0,0000;0,0035;0,00;0,01;0,00;0,00;0,04;;0,204;0,408;0,0000000;20,95400;0,04400;0,00700;-0,0000113;;70,40;3,00;;;
Heat flux (kW/m²);75;4;20,93600;0,05300;-0,002000;111,050;99,98;0,5100;0,000;100,804;28,400;0,000;345,050;348,750;28,10;1135,950;263,196;0,000;841,700;883,100;863,600;328,550;;;;;0,00;0,00;0,00;3,00;3,86;15,381;27,375;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,2310;;;0,01666578;0,01666578;0,00071;0,01290;0,0033;24,791323;0,000075;24,220439;24,480157;0,0000;0,0016;0,00;0,01;0,00;0,00;0,04;;0,307;0,408;0,0123336;20,95400;0,04400;-0,00700;0,0001659;;70,93;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,94000;0,05100;-0,014000;109,575;99,98;-0,0500;0,000;100,810;28,400;0,000;344,950;348,750;28,10;1134,550;263,196;0,000;838,100;882,900;863,200;328,550;;;;;0,00;0,00;0,00;3,00;3,86;15,345;27,392;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,2230;;;0,36416880;0,36416880;0,00071;0,00059;0,0046;24,629699;0,000005;24,055563;24,320561;0,0000;0,0001;0,00;0,01;0,00;0,00;0,04;;0,491;0,489;0,0122532;20,95400;0,04400;-0,00700;0,0001659;;70,37;5,00;;;
Sampling interval (s);1;6;20,94100;0,05000;0,007000;108,375;99,96;-0,0400;0,000;100,810;28,400;0,000;344,850;348,650;28,10;1133,483;263,196;0,000;835,400;882,600;863,000;328,550;;;;;0,00;0,00;0,00;3,00;3,86;15,374;27,389;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,8910;;;-0,04666646;-0,04666646;-0,00319;-0,00455;0,0075;24,498015;0,000287;23,920012;24,183593;0,0001;0,0061;0,00;0,02;0,00;0,00;0,04;;0,752;0,489;0,0289649;20,95400;0,04400;-0,02500;0,0003937;;70,38;6,00;;;
Separation (mm);25;7;20,94400;0,04700;-0,024000;109,000;99,98;-0,0500;0,000;100,810;28,400;0,000;344,950;348,650;28,10;1132,617;263,196;0,000;833,400;882,300;862,700;328,550;;;;;0,00;0,00;0,00;3,00;3,86;15,395;27,378;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,1509;;;0,00666300;0,00666300;-0,00016;0,03197;0,0086;24,564991;0,000076;23,992363;24,249710;0,0000;0,0016;0,00;0,02;0,00;0,00;0,01;;0,933;0,689;0,0115306;20,95500;0,04400;-0,01100;0,0001562;;70,37;7,00;;;
Orientation;hor;8;20,94700;0,04700;-0,017000;104,675;99,99;-0,0500;0,000;100,806;28,400;0,000;344,950;348,650;28,10;1132,050;263,190;0,000;832,100;882,100;862,500;328,550;;;;;0,00;0,00;0,00;3,00;3,87;15,395;27,386;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,2192;;;-0,00083288;-0,00083288;-0,00037;-0,25065;0,0098;24,072702;-0,000046;23,511550;23,763740;0,0000;-0,0010;0,00;0,02;0,00;0,00;0,01;;0,965;0,689;0,0122156;20,95500;0,04400;-0,01200;0,0001688;;70,37;8,00;;;
