General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,94600;115,82500;0,003000;0,049;99,96;20,9000;0,000;0,00;101,286;0,014;263,177;324,850;326,65;845,583;;;569,400;593,200;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00000;0,00000;0,0;25,676048;0,000000;23,616271;23,747129;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0000000;20,94500;0,05000;0,01700;-0,0000380;;;;;;
Standard used;ISO 5660-1;1;20,94600;123,87500;-0,002000;0,049;99,95;20,9000;0,000;0,00;101,288;0,014;263,177;324,850;326,65;845,717;;;569,800;593,200;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,20294;;;;nan;-0,06624;0,00000;0,00020294;26,553322;0,000034;24,423168;24,558497;0,0000;0,0008;;;0,00;0,00;0,00;;;;0,0020294;20,94500;0,05100;0,01200;0,0000253;;;;;;
Date of test;11,04,2025;2;20,94400;118,10000;0,012000;0,050;99,96;20,9000;0,000;0,00;101,286;0,014;263,183;324,750;326,65;845,783;;;570,000;593,200;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,19837;0,02991;0,00020294;25,930974;-0,000052;23,843404;23,982904;0,0000;-0,0012;;;0,00;0,00;0,04;;;;0,0000000;20,94200;0,05100;-0,00400;-0,0000798;;;;;;
Time of test;11:56;3;20,94400;121,55000;-0,008000;0,049;99,94;20,9000;0,000;0,00;101,286;0,014;263,177;324,850;326,65;845,750;;;569,900;593,200;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,30533;;;;nan;-0,24277;-0,01138;0,00150827;26,302953;0,000136;24,192884;24,326938;0,0000;0,0033;;;0,00;0,00;0,03;;;;0,0130533;20,94300;0,05100;-0,00900;0,0001648;;;;;;
Heat flux (kW/m²);25;4;20,94400;118,92500;-0,014000;0,049;99,96;20,9000;0,000;0,00;101,286;0,014;263,177;324,850;326,75;845,917;;;570,300;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,78829;;;;nan;-0,31672;-0,00900;0,00329656;26,017383;-0,000069;23,930223;24,070187;0,0000;-0,0017;;;0,00;0,00;0,03;;;;0,0178829;20,94500;0,05000;-0,00700;0,0002280;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,94500;118,90001;-0,007000;0,050;99,97;20,9000;0,000;0,00;101,286;0,014;263,177;324,850;326,75;845,783;;;569,900;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,55147;;;;nan;-0,11248;0,03001;0,00384803;26,014648;-0,000094;23,927708;24,067657;0,0000;-0,0022;;;0,00;0,00;-0,01;;;;0,0055147;20,94500;0,05000;-0,00200;0,0000701;;;;;;
Sampling interval (s);1;6;20,94400;117,02500;0,003000;0,050;99,95;21,0000;0,000;0,00;101,286;0,014;263,183;324,850;326,65;845,817;;;570,000;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,12508;0,02552;0,00384803;25,808713;0,000049;23,738293;23,869827;0,0000;0,0012;;;0,00;0,00;0,02;;;;0,0000000;20,94400;0,05000;-0,01000;-0,0000021;;;;;;
Separation (mm);25;7;20,94300;122,85001;0,008000;0,050;99,98;21,0000;0,000;0,00;101,286;0,014;263,177;324,850;326,65;845,883;;;570,200;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,22757;0,02288;0,00384803;26,443237;-0,000164;24,321914;24,456682;0,0000;-0,0040;;;0,00;0,00;0,05;;;;0,0000000;20,94400;0,05000;0,01200;-0,0000170;;;;;;
Orientation;Hor;8;20,94500;119,22499;0,012000;0,050;99,93;21,0000;0,000;0,00;101,286;0,014;263,177;324,850;326,75;845,850;;;570,100;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,29170;0,02003;0,00384803;26,050177;0,000281;23,960386;24,100527;0,0001;0,0067;;;0,00;0,00;-0,01;;;;0,0000000;20,94500;0,04900;0,02500;-0,0001844;;;;;;
Edge frame?;N;9;20,94600;125,05000;0,027000;0,050;99,96;21,0000;0,000;0,00;101,286;0,014;263,177;324,950;326,85;846,017;;;570,400;593,400;554,800;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,62815;0,01846;0,00384803;26,674853;0,000013;24,542503;24,686004;0,0000;0,0003;;;0,01;0,00;-0,04;;;;0,0000000;20,94600;0,05000;0,02000;-0,0004255;;;;;;
