File Name:	PS_21.txt	Version: 8.3.7.3
Date:	05 Sep 2024
Operator:	KH
Test ID:	PS_21
Sample ID:	PS_21
Sample Mass (mg):	3.0800
Sample Cup Mass (mg):	184.3300
End Total Mass (mg):	0.0100
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.076
Baseline O2:	20.162
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.229	80.017	19.978	100.076	20.195	-18.835	0.026	899.397
0.500	75.225	80.018	19.978	100.078	20.176	-16.966	0.014	899.376
1.000	75.244	80.019	19.978	100.076	20.150	-14.409	0.015	899.383
1.499	75.226	80.016	19.978	100.083	20.126	-12.004	0.001	899.417
1.999	75.271	80.016	19.978	100.120	20.111	-10.494	0.027	899.409
2.499	75.277	80.017	19.978	100.195	20.089	-8.245	0.051	899.384
3.000	75.321	80.015	19.978	100.309	20.077	-7.086	0.050	899.412
3.500	75.373	80.016	19.977	100.450	20.069	-6.280	0.096	899.433
4.000	75.443	80.020	19.977	100.599	20.063	-5.738	0.122	899.420
4.500	75.468	80.019	19.977	100.724	20.057	-5.220	0.095	899.413
4.999	75.518	80.018	19.977	100.812	20.054	-5.493	0.075	899.431
5.500	75.596	80.016	19.977	100.861	20.051	-6.516	0.129	899.433
6.001	75.691	80.015	19.976	100.883	20.050	-8.447	0.173	899.411
6.500	75.805	80.017	19.977	100.890	20.050	-10.997	0.209	899.425
7.000	75.894	80.015	19.977	100.890	20.046	-13.482	0.203	899.426
7.500	75.960	80.014	19.976	100.891	20.044	-16.296	0.155	899.417
8.000	76.114	80.012	19.977	100.891	20.044	-18.782	0.220	899.412
8.500	76.198	80.012	19.977	100.893	20.045	-20.582	0.237	899.435
9.000	76.329	80.016	19.977	100.893	20.045	-21.117	0.215	899.438
9.501	76.443	80.018	19.977	100.898	20.042	-20.821	0.246	899.408
10.000	76.591	80.017	19.978	100.896	20.038	-19.843	0.263	899.471
10.500	76.731	80.016	19.977	100.897	20.027	-17.802	0.288	899.442
11.000	76.882	80.014	19.977	100.899	20.006	-14.758	0.291	899.461
11.500	77.030	80.016	19.977	100.902	19.975	-10.745	0.300	899.435
12.000	77.199	80.017	19.976	100.909	19.946	-7.083	0.317	899.444
12.500	77.363	80.015	19.976	100.947	19.918	-3.573	0.332	899.435
13.000	77.568	80.015	19.976	101.027	19.900	-1.000	0.369	899.422
13.500	77.797	80.014	19.976	101.156	19.892	0.440	0.434	899.406
14.000	78.017	80.013	19.977	101.317	19.885	1.610	0.449	899.454
14.500	78.296	80.014	19.976	101.498	19.885	2.166	0.499	899.435
15.001	78.577	80.016	19.977	101.664	19.883	2.857	0.560	899.432
15.500	78.827	80.016	19.977	101.776	19.889	2.807	0.532	899.451
16.000	79.141	80.017	19.977	101.829	19.896	2.601	0.564	899.456
16.500	79.473	80.016	19.977	101.838	19.898	2.955	0.646	899.459
17.000	79.794	80.017	19.976	101.808	19.906	2.714	0.653	899.410
17.500	80.162	80.018	19.977	101.761	19.917	2.205	0.689	899.443
18.000	80.508	80.015	19.977	101.714	19.917	2.725	0.713	899.449
18.500	80.889	80.017	19.977	101.664	19.927	2.314	0.727	899.446
18.999	81.259	80.016	19.977	101.620	19.933	2.338	0.752	899.472
19.500	81.660	80.016	19.977	101.585	19.940	2.257	0.770	899.416
20.001	82.043	80.018	19.976	101.548	19.945	2.361	0.783	899.450
20.500	82.480	80.018	19.976	101.511	19.953	2.057	0.820	899.467
21.000	82.869	80.019	19.977	101.483	19.962	1.523	0.827	899.457
21.500	83.278	80.017	19.976	101.455	19.964	1.643	0.798	899.455
22.000	83.727	80.016	19.977	101.429	19.968	1.481	0.858	899.442
22.500	84.153	80.017	19.975	101.402	19.969	1.477	0.875	899.448
23.000	84.562	80.017	19.975	101.376	19.976	0.918	0.835	899.431
23.500	85.019	80.016	19.976	101.345	19.979	0.860	0.867	899.455
24.000	85.486	80.017	19.975	101.315	19.985	0.431	0.925	899.418
24.500	85.942	80.017	19.975	101.282	19.987	0.355	0.922	899.432
25.000	86.430	80.017	19.976	101.251	19.994	-0.149	0.943	899.453
25.501	86.928	80.018	19.976	101.224	20.002	-0.698	0.986	899.466
26.000	87.420	80.017	19.976	101.193	20.004	-0.765	0.991	899.467
26.500	87.878	80.016	19.976	101.158	20.010	-1.316	0.950	899.459
27.000	88.347	80.015	19.976	101.124	20.014	-1.659	0.926	899.450
27.501	88.847	80.016	19.977	101.092	20.017	-1.794	0.969	899.458
28.000	89.316	80.016	19.977	101.062	20.017	-1.725	0.970	899.478
28.500	89.798	80.017	19.977	101.043	20.019	-1.771	0.952	899.441
29.000	90.338	80.017	19.978	101.032	20.021	-1.823	1.021	899.434
29.500	90.797	80.019	19.978	101.026	20.023	-1.818	0.997	899.462
30.001	91.338	80.017	19.976	101.021	20.027	-1.985	1.000	899.451
30.500	91.800	80.019	19.977	101.011	20.028	-2.030	1.005	899.465
31.000	92.317	80.020	19.977	101.001	20.031	-2.133	0.979	899.452
31.500	92.795	80.017	19.976	100.989	20.035	-2.459	0.994	899.489
32.000	93.333	80.016	19.977	100.977	20.036	-2.408	1.016	899.462
32.501	93.838	80.016	19.977	100.967	20.040	-2.548	1.044	899.474
33.000	94.352	80.015	19.977	100.957	20.043	-2.618	1.020	899.482
33.500	94.886	80.019	19.977	100.952	20.048	-3.032	1.047	899.439
34.000	95.374	80.018	19.976	100.949	20.048	-2.965	1.020	899.474
34.501	95.907	80.018	19.978	100.947	20.050	-3.054	1.021	899.442
35.000	96.409	80.019	19.978	100.939	20.048	-2.853	1.036	899.474
35.500	96.933	80.016	19.978	100.935	20.050	-2.960	1.027	899.457
36.000	97.474	80.016	19.978	100.924	20.055	-3.307	1.065	899.477
36.500	97.991	80.019	19.978	100.911	20.053	-3.097	1.057	899.470
37.001	98.515	80.017	19.978	100.897	20.056	-3.314	1.041	899.477
37.500	99.055	80.018	19.979	100.894	20.059	-3.431	1.064	899.475
38.000	99.556	80.017	19.979	100.890	20.059	-3.407	1.041	899.475
38.500	100.072	80.017	19.979	100.879	20.058	-3.255	1.016	899.490
39.001	100.616	80.016	19.977	100.875	20.057	-3.135	1.060	899.445
39.501	101.167	80.015	19.977	100.865	20.059	-3.369	1.096	899.494
40.000	101.686	80.016	19.977	100.850	20.060	-3.485	1.071	899.484
40.500	102.201	80.017	19.978	100.838	20.062	-3.635	1.033	899.480
41.001	102.778	80.015	19.977	100.835	20.064	-3.756	1.091	899.480
41.501	103.292	80.017	19.977	100.828	20.067	-4.019	1.093	899.513
42.000	103.832	80.019	19.977	100.828	20.067	-4.032	1.054	899.498
42.500	104.346	80.017	19.977	100.828	20.066	-3.810	1.054	899.507
43.000	104.859	80.017	19.978	100.821	20.071	-4.169	1.027	899.519
43.500	105.387	80.017	19.978	100.815	20.068	-3.892	1.042	899.534
44.000	105.973	80.017	19.977	100.810	20.070	-3.970	1.115	899.487
44.500	106.474	80.016	19.977	100.804	20.070	-3.933	1.086	899.489
45.000	106.998	80.015	19.977	100.798	20.070	-3.793	1.024	899.491
45.501	107.500	80.016	19.977	100.799	20.067	-3.421	1.025	899.516
46.001	108.069	80.017	19.979	100.800	20.068	-3.495	1.071	899.515
46.500	108.576	80.016	19.978	100.796	20.069	-3.563	1.078	899.496
47.000	109.118	80.019	19.977	100.795	20.071	-3.723	1.049	899.475
47.500	109.686	80.018	19.977	100.798	20.070	-3.547	1.110	899.499
48.000	110.193	80.016	19.977	100.795	20.076	-4.028	1.075	899.460
48.500	110.725	80.016	19.977	100.793	20.077	-4.150	1.039	899.474
